Loop,N_Points,Alpha,Entropy_Input,CV_NND_Input,Entropy_SHAP,CV_NND_SHAP
0,30,0.00,0.9089,0.0654,0.8503,0.5908
1,31,0.00,0.9096,0.0669,0.8414,0.6524
2,32,0.00,0.9100,0.0745,0.8393,0.6428
3,33,0.00,0.9098,0.0774,0.8348,0.6583
4,34,0.00,0.9146,0.0845,0.9241,0.2891
5,35,0.00,0.9167,0.0839,0.9031,0.2995
6,36,0.00,0.9127,0.0859,0.8348,0.4630
7,37,0.00,0.9199,0.1042,0.7207,0.6579
8,38,0.00,0.9191,0.1133,0.8278,0.4852
9,39,0.00,0.9203,0.1380,0.7475,0.7284
10,40,0.00,0.9187,0.1377,0.7344,0.6413
11,41,0.00,0.9180,0.1364,0.7384,0.6803
12,42,0.00,0.9158,0.1519,0.7278,0.7107
13,43,0.00,0.9154,0.1497,0.9303,0.3684
14,44,0.00,0.9129,0.1495,0.9326,0.2969
15,45,0.00,0.9100,0.1480,0.6852,0.9163
16,46,0.00,0.9095,0.1679,0.7300,0.8071
17,47,0.00,0.9072,0.1902,0.6354,1.0318
18,48,0.00,0.9034,0.1815,0.7443,0.7590
19,49,0.00,0.9087,0.1913,0.7290,0.7218
20,50,0.00,0.9071,0.2094,0.9256,0.3320
21,51,0.00,0.9033,0.2129,0.7354,0.6800
22,52,0.00,0.9046,0.2097,0.8023,0.5704
23,53,0.00,0.9031,0.2218,0.8154,0.5513
24,54,0.00,0.9023,0.2216,0.7563,0.6467
25,55,0.00,0.8999,0.2248,0.6749,1.0093
26,56,0.00,0.9015,0.2289,0.6700,1.0264
27,57,0.00,0.9041,0.2306,0.6699,0.9914
28,58,0.00,0.9082,0.2411,0.6686,1.0070
29,59,0.00,0.9099,0.2415,0.6678,1.0109
30,60,0.00,0.9100,0.2541,0.8096,0.5786
31,61,0.00,0.9138,0.2525,0.7618,0.6461
32,62,0.00,0.9134,0.2496,0.8086,0.5792
33,63,0.00,0.9167,0.2475,0.9493,0.3178
34,64,0.00,0.9152,0.2456,0.8042,0.5985
35,65,0.00,0.9166,0.2426,0.7998,0.5967
36,66,0.00,0.9179,0.2406,0.8396,0.5918
37,67,0.00,0.9197,0.2421,0.8241,0.5582
38,68,0.00,0.9224,0.2369,0.7784,0.7112
39,69,0.00,0.9250,0.2343,0.7963,0.7035
40,70,0.00,0.9267,0.2334,0.8021,0.5635
41,71,0.00,0.9272,0.2318,0.9510,0.2870
42,72,0.00,0.9241,0.2342,0.9221,0.3681
43,73,0.00,0.9210,0.2363,0.8099,0.5542
44,74,0.00,0.9205,0.2287,0.8055,0.5639
45,75,0.00,0.9218,0.2304,0.8551,0.4255
46,76,0.00,0.9206,0.2297,0.7849,0.5768
47,77,0.00,0.9190,0.2303,0.7833,0.6425
48,78,0.00,0.9178,0.2284,0.7893,0.5884
49,79,0.00,0.9188,0.2305,0.7987,0.5713
