Loop,N_Points,Alpha,Entropy_Input,CV_NND_Input,Entropy_SHAP,CV_NND_SHAP
0,30,0.00,0.9081,0.1239,0.8224,0.5230
1,31,0.00,0.9164,0.1189,0.8811,0.3165
2,32,0.00,0.9150,0.1182,0.8084,0.5778
3,33,0.00,0.9170,0.1212,0.8866,0.3101
4,34,0.00,0.9157,0.1219,0.8934,0.3323
5,35,0.00,0.9145,0.1204,0.7851,0.6658
6,36,0.00,0.9130,0.1197,0.7939,0.6735
7,37,0.00,0.9116,0.1163,0.7785,0.6553
8,38,0.00,0.9097,0.1272,0.8004,0.5335
9,39,0.00,0.9108,0.1260,0.8052,0.5591
10,40,0.00,0.9111,0.1256,0.8340,0.5452
11,41,0.00,0.9148,0.1241,0.7505,0.8047
12,42,0.00,0.9119,0.1218,0.7845,0.7512
13,43,0.00,0.9158,0.1269,0.8318,0.5775
14,44,0.00,0.9164,0.1251,0.8313,0.5480
15,45,0.00,0.9127,0.1245,0.8647,0.4488
16,46,0.00,0.9078,0.1307,0.8732,0.4416
17,47,0.00,0.9063,0.1308,0.8402,0.4647
18,48,0.00,0.9027,0.1313,0.8232,0.4389
19,49,0.00,0.9006,0.1546,0.8388,0.4624
20,50,0.00,0.8977,0.1498,0.8417,0.4703
21,51,0.00,0.8944,0.1459,0.8360,0.4968
22,52,0.00,0.8931,0.1515,0.8390,0.5084
23,53,0.00,0.8909,0.1809,0.8342,0.5310
24,54,0.00,0.8879,0.1794,0.8188,0.5785
25,55,0.00,0.8860,0.1767,0.8371,0.5386
26,56,0.00,0.8832,0.1804,0.8190,0.5440
27,57,0.00,0.8805,0.2054,0.8162,0.5849
28,58,0.00,0.8799,0.2032,0.8165,0.5708
29,59,0.00,0.8778,0.2017,0.8463,0.5522
30,60,0.00,0.8755,0.2147,0.8369,0.5610
31,61,0.00,0.8721,0.2153,0.9031,0.5613
32,62,0.00,0.8694,0.2212,0.8991,0.5476
33,63,0.00,0.8661,0.2182,0.9068,0.5416
34,64,0.00,0.8627,0.2190,0.9017,0.5697
35,65,0.00,0.8600,0.2192,0.8974,0.5619
36,66,0.00,0.8573,0.2176,0.8921,0.5514
37,67,0.00,0.8536,0.2267,0.9008,0.5114
38,68,0.00,0.8504,0.2283,0.8979,0.5029
39,69,0.00,0.8477,0.2304,0.9056,0.5158
40,70,0.00,0.8453,0.2312,0.9072,0.5090
41,71,0.00,0.8427,0.2377,0.9064,0.4922
42,72,0.00,0.8403,0.2430,0.8748,0.5637
43,73,0.00,0.8370,0.2412,0.8860,0.5331
44,74,0.00,0.8341,0.2488,0.9143,0.4901
45,75,0.00,0.8311,0.2482,0.9162,0.4963
46,76,0.00,0.8288,0.2510,0.9204,0.4872
47,77,0.00,0.8252,0.2525,0.9150,0.5082
48,78,0.00,0.8232,0.2542,0.9136,0.5081
49,79,0.00,0.8202,0.2532,0.9080,0.5197
