Loop,N_Points,Alpha,Entropy_Input,CV_NND_Input,Entropy_SHAP,CV_NND_SHAP
0,30,1.00,0.9081,0.1239,0.8224,0.5230
1,31,1.00,0.9155,0.2453,0.8673,0.5186
2,32,1.00,0.9217,0.2713,0.8661,0.4216
3,33,1.00,0.9247,0.2845,0.8761,0.4033
4,34,1.00,0.9304,0.3030,0.8839,0.4806
5,35,1.00,0.9285,0.3115,0.8938,0.4740
6,36,1.00,0.9255,0.3346,0.9042,0.4392
7,37,1.00,0.9214,0.3661,0.8900,0.3608
8,38,1.00,0.9198,0.3662,0.9127,0.3966
9,39,1.00,0.9211,0.3613,0.9120,0.3577
10,40,1.00,0.9191,0.3635,0.9268,0.3563
11,41,1.00,0.9179,0.3934,0.9240,0.3727
12,42,1.00,0.9161,0.3932,0.9277,0.3992
13,43,1.00,0.9139,0.4208,0.9262,0.3562
14,44,1.00,0.9153,0.4162,0.9375,0.3547
15,45,1.00,0.9185,0.4249,0.9300,0.3612
16,46,1.00,0.9243,0.4248,0.9332,0.3677
17,47,1.00,0.9256,0.4181,0.9304,0.3569
18,48,1.00,0.9261,0.4132,0.9109,0.3507
19,49,1.00,0.9259,0.4263,0.9178,0.3312
20,50,1.00,0.9257,0.4448,0.9195,0.3245
21,51,1.00,0.9238,0.4423,0.9234,0.3235
22,52,1.00,0.9263,0.4305,0.9333,0.3313
23,53,1.00,0.9291,0.4214,0.9311,0.3279
24,54,1.00,0.9277,0.4515,0.9298,0.3672
25,55,1.00,0.9261,0.4712,0.9234,0.4109
26,56,1.00,0.9247,0.4879,0.9260,0.4356
27,57,1.00,0.9240,0.4967,0.9212,0.4544
28,58,1.00,0.9230,0.4865,0.9258,0.4563
29,59,1.00,0.9203,0.4831,0.9285,0.4427
30,60,1.00,0.9225,0.4802,0.9283,0.4512
31,61,1.00,0.9201,0.4752,0.9341,0.4379
32,62,1.00,0.9180,0.5023,0.9296,0.4609
33,63,1.00,0.9178,0.5197,0.9281,0.4526
34,64,1.00,0.9161,0.5389,0.9298,0.4797
35,65,1.00,0.9161,0.5485,0.9311,0.4747
36,66,1.00,0.9172,0.5522,0.9284,0.5169
37,67,1.00,0.9160,0.5560,0.9282,0.5123
38,68,1.00,0.9157,0.5608,0.8668,0.7587
39,69,1.00,0.9158,0.5696,0.9315,0.5550
40,70,1.00,0.9155,0.5674,0.9247,0.5466
41,71,1.00,0.9142,0.5629,0.9280,0.5670
42,72,1.00,0.9125,0.5914,0.9235,0.6099
43,73,1.00,0.9127,0.6072,0.9218,0.6393
44,74,1.00,0.9109,0.6048,0.9253,0.6288
45,75,1.00,0.9116,0.6061,0.9175,0.6540
46,76,1.00,0.9098,0.6198,0.9230,0.6684
47,77,1.00,0.9093,0.6228,0.9218,0.6992
48,78,1.00,0.9076,0.6302,0.9166,0.7347
49,79,1.00,0.9083,0.6319,0.9269,0.7180
