Loop,N_Points,Alpha,Entropy_Input,CV_NND_Input,Entropy_SHAP,CV_NND_SHAP
0,30,0.00,0.9062,0.1079,0.7803,0.7394
1,31,0.02,0.9063,0.1068,0.8221,0.6490
2,32,0.04,0.9059,0.1069,0.8405,0.5342
3,33,0.06,0.9064,0.1584,0.8128,0.6282
4,34,0.08,0.9119,0.1560,0.8561,0.4769
5,35,0.10,0.9115,0.1589,0.8708,0.4234
6,36,0.12,0.9159,0.1576,0.8658,0.4265
7,37,0.14,0.9124,0.1568,0.8697,0.3983
8,38,0.16,0.9137,0.1546,0.9267,0.3514
9,39,0.18,0.9141,0.1582,0.8623,0.5516
10,40,0.20,0.9141,0.1529,0.9284,0.4171
11,41,0.22,0.9127,0.1604,0.9152,0.4688
12,42,0.24,0.9094,0.2532,0.9209,0.5088
13,43,0.27,0.9068,0.2563,0.9030,0.5658
14,44,0.29,0.9082,0.2591,0.8959,0.5349
15,45,0.31,0.9069,0.2891,0.9291,0.3937
16,46,0.33,0.9047,0.2896,0.9414,0.3839
17,47,0.35,0.9033,0.2896,0.9252,0.3740
18,48,0.37,0.9012,0.2874,0.9162,0.3797
19,49,0.39,0.8996,0.2937,0.9143,0.3904
20,50,0.41,0.9019,0.2985,0.9137,0.3652
21,51,0.43,0.9017,0.3025,0.9098,0.3792
22,52,0.45,0.9019,0.3171,0.9154,0.3697
23,53,0.47,0.8990,0.3122,0.9203,0.3608
24,54,0.49,0.8965,0.3093,0.9156,0.3443
25,55,0.51,0.9021,0.3191,0.9139,0.3336
26,56,0.53,0.9020,0.3162,0.9117,0.3296
27,57,0.55,0.9055,0.3154,0.9267,0.3338
28,58,0.57,0.9042,0.3134,0.9244,0.3251
29,59,0.59,0.9012,0.3517,0.9254,0.3527
30,60,0.61,0.9001,0.3603,0.9230,0.3460
31,61,0.63,0.8982,0.3937,0.9252,0.3914
32,62,0.65,0.9009,0.3953,0.9321,0.3869
33,63,0.67,0.8982,0.4220,0.9336,0.4150
34,64,0.69,0.8989,0.4281,0.9332,0.4077
35,65,0.71,0.8959,0.4440,0.9337,0.4473
36,66,0.73,0.8958,0.4587,0.9323,0.4531
37,67,0.76,0.8965,0.4631,0.9276,0.4523
38,68,0.78,0.8957,0.4734,0.9243,0.4630
39,69,0.80,0.8961,0.5056,0.9242,0.5005
40,70,0.82,0.8930,0.5227,0.9198,0.4914
41,71,0.84,0.8927,0.5328,0.9220,0.5278
42,72,0.86,0.8902,0.5300,0.9215,0.5250
43,73,0.88,0.8874,0.5472,0.9225,0.5435
44,74,0.90,0.8874,0.5696,0.9207,0.5601
45,75,0.92,0.8866,0.5775,0.9276,0.5621
46,76,0.94,0.8865,0.5986,0.9171,0.5768
47,77,0.96,0.8898,0.6024,0.9034,0.5898
48,78,0.98,0.8918,0.6083,0.9152,0.5946
49,79,1.00,0.8942,0.6032,0.9108,0.5903
