Loop,N_Points,Alpha,Entropy_Input,CV_NND_Input,Entropy_SHAP,CV_NND_SHAP
0,30,0.00,0.9081,0.1239,0.8224,0.5230
1,31,0.02,0.9164,0.1189,0.8811,0.3165
2,32,0.04,0.9200,0.1139,0.8729,0.3343
3,33,0.06,0.9192,0.1122,0.8943,0.3397
4,34,0.08,0.9238,0.1151,0.8873,0.3328
5,35,0.10,0.9261,0.1135,0.9008,0.3170
6,36,0.12,0.9240,0.1780,0.8056,0.5422
7,37,0.14,0.9256,0.1775,0.8329,0.4291
8,38,0.16,0.9234,0.1753,0.8962,0.3578
9,39,0.18,0.9218,0.1827,0.8396,0.4044
10,40,0.20,0.9228,0.1854,0.8407,0.4145
11,41,0.22,0.9212,0.1852,0.8799,0.4026
12,42,0.24,0.9185,0.2518,0.8284,0.5281
13,43,0.27,0.9147,0.2475,0.8315,0.5663
14,44,0.29,0.9140,0.2966,0.8587,0.5404
15,45,0.31,0.9202,0.3038,0.8721,0.4203
16,46,0.33,0.9175,0.3005,0.8969,0.4741
17,47,0.35,0.9186,0.3049,0.9182,0.3922
18,48,0.37,0.9148,0.3655,0.9018,0.4706
19,49,0.39,0.9183,0.3674,0.9107,0.4789
20,50,0.41,0.9213,0.3651,0.9176,0.5026
21,51,0.43,0.9223,0.3814,0.9334,0.4907
22,52,0.45,0.9256,0.3865,0.9262,0.4503
23,53,0.47,0.9322,0.4207,0.9231,0.4941
24,54,0.49,0.9320,0.4266,0.9145,0.4891
25,55,0.51,0.9321,0.4369,0.9200,0.4663
26,56,0.53,0.9312,0.4767,0.9139,0.5039
27,57,0.55,0.9291,0.4708,0.9155,0.4984
28,58,0.57,0.9277,0.4660,0.9055,0.4933
29,59,0.59,0.9260,0.4657,0.9075,0.4898
30,60,0.61,0.9255,0.5066,0.9070,0.5226
31,61,0.63,0.9232,0.5029,0.8994,0.5209
32,62,0.65,0.9198,0.5013,0.9021,0.5270
33,63,0.67,0.9176,0.4971,0.9025,0.5259
34,64,0.69,0.9218,0.4900,0.9115,0.5027
35,65,0.71,0.9200,0.4853,0.9091,0.5127
36,66,0.73,0.9179,0.4813,0.8956,0.5140
37,67,0.76,0.9178,0.4868,0.9077,0.5110
38,68,0.78,0.9158,0.4824,0.9009,0.5194
39,69,0.80,0.9132,0.4777,0.9005,0.5339
40,70,0.82,0.9112,0.5001,0.9034,0.5536
41,71,0.84,0.9092,0.4959,0.9082,0.5555
42,72,0.86,0.9065,0.4936,0.9025,0.5532
43,73,0.88,0.9044,0.4919,0.9073,0.5446
44,74,0.90,0.9025,0.4878,0.9077,0.5403
45,75,0.92,0.8999,0.4848,0.9045,0.5529
46,76,0.94,0.8983,0.4808,0.9062,0.5554
47,77,0.96,0.9004,0.5110,0.8988,0.5821
48,78,0.98,0.8976,0.5068,0.8935,0.6027
49,79,1.00,0.8950,0.5027,0.9029,0.6102
