Loop,N_Points,Entropy_Input,CV_NND_Input,Entropy_SHAP,CV_NND_SHAP
0,30,0.9089,0.0654,0.8503,0.5908
1,31,0.9056,0.1017,0.7960,0.5129
2,32,0.9038,0.0821,0.8290,0.4454
3,33,0.9051,0.0738,0.8974,0.2907
4,34,0.9028,0.0899,0.8435,0.5622
5,35,0.9070,0.0702,0.8907,0.1879
6,36,0.9079,0.1114,0.8759,0.4992
7,37,0.9068,0.1121,0.7641,0.5631
8,38,0.9054,0.0668,0.8831,0.4049
9,39,0.9030,0.0993,0.8686,0.5226
10,40,0.9091,0.1060,0.7441,0.7567
11,41,0.9069,0.0961,0.8212,0.5200
12,42,0.9076,0.0950,0.8256,0.5856
13,43,0.9093,0.0695,0.9171,0.3113
14,44,0.9090,0.0664,0.8349,0.5928
15,45,0.9088,0.0876,0.8686,0.4498
16,46,0.9060,0.1053,0.8465,0.5526
17,47,0.9083,0.0848,0.8079,0.4923
18,48,0.9074,0.0819,0.8106,0.5846
19,49,0.9106,0.0795,0.8761,0.4892
20,50,0.9096,0.1060,0.7459,0.6578
21,51,0.9078,0.0826,0.7696,0.6591
22,52,0.9097,0.0836,0.8237,0.5654
23,53,0.9094,0.0964,0.8869,0.3166
24,54,0.9094,0.1074,0.8852,0.4702
25,55,0.9087,0.1084,0.9383,0.2532
26,56,0.9090,0.1024,0.8246,0.5479
27,57,0.9102,0.0804,0.8499,0.6140
28,58,0.9082,0.1059,0.8439,0.5781
29,59,0.9098,0.0918,0.8639,0.4781
30,60,0.9108,0.0936,0.8169,0.6389
31,61,0.9094,0.1074,0.9248,0.3323
32,62,0.9082,0.0892,0.7902,0.6831
33,63,0.9105,0.0815,0.8690,0.3880
34,64,0.9104,0.0970,0.8915,0.4521
35,65,0.9095,0.0941,0.8713,0.4539
36,66,0.9101,0.0866,0.8232,0.5876
37,67,0.9102,0.0900,0.8892,0.5324
38,68,0.9100,0.0856,0.9229,0.2900
39,69,0.9087,0.1019,0.8466,0.5886
40,70,0.9101,0.0897,0.8969,0.4806
41,71,0.9098,0.0982,0.7967,0.5853
42,72,0.9095,0.0832,0.9065,0.3907
43,73,0.9095,0.0838,0.8856,0.4626
44,74,0.9095,0.0823,0.8858,0.4953
45,75,0.9115,0.0805,0.8747,0.5290
46,76,0.9100,0.1083,0.8748,0.5381
47,77,0.9117,0.0701,0.8225,0.5522
48,78,0.9093,0.0872,0.8881,0.5108
49,79,0.9090,0.0897,0.9153,0.3653
50,80,0.9094,0.0763,0.8476,0.5291
