Loop,N_Points,Alpha,Entropy_Input,CV_NND_Input,Entropy_SHAP,CV_NND_SHAP
0,30,1.00,0.9089,0.0654,0.8503,0.5908
1,31,1.00,0.9096,0.0952,0.8441,0.5383
2,32,1.00,0.9174,0.1830,0.8633,0.4778
3,33,1.00,0.9161,0.2092,0.8785,0.4347
4,34,1.00,0.9171,0.2520,0.8706,0.4754
5,35,1.00,0.9148,0.3168,0.8906,0.4629
6,36,1.00,0.9217,0.3329,0.8813,0.5733
7,37,1.00,0.9202,0.3317,0.8808,0.5023
8,38,1.00,0.9177,0.3336,0.9030,0.4966
9,39,1.00,0.9254,0.3434,0.8733,0.5590
10,40,1.00,0.9234,0.3400,0.8884,0.5289
11,41,1.00,0.9230,0.3365,0.9336,0.3917
12,42,1.00,0.9227,0.3333,0.9569,0.3337
13,43,1.00,0.9220,0.3175,0.9301,0.3867
14,44,1.00,0.9199,0.3680,0.9352,0.4354
15,45,1.00,0.9169,0.3835,0.9394,0.4296
16,46,1.00,0.9218,0.3822,0.9331,0.4063
17,47,1.00,0.9186,0.3988,0.9286,0.4246
18,48,1.00,0.9185,0.4243,0.9295,0.4966
19,49,1.00,0.9168,0.4267,0.9362,0.4844
20,50,1.00,0.9154,0.4410,0.9139,0.4790
21,51,1.00,0.9139,0.4420,0.9411,0.4310
22,52,1.00,0.9117,0.4788,0.9399,0.4390
23,53,1.00,0.9093,0.4854,0.9381,0.4555
24,54,1.00,0.9116,0.5009,0.9305,0.4752
25,55,1.00,0.9133,0.4968,0.8954,0.5002
26,56,1.00,0.9180,0.4967,0.9132,0.5120
27,57,1.00,0.9210,0.4858,0.9100,0.5169
28,58,1.00,0.9233,0.4804,0.9150,0.5021
29,59,1.00,0.9261,0.4733,0.9127,0.4950
30,60,1.00,0.9257,0.4804,0.9060,0.4768
31,61,1.00,0.9288,0.4984,0.9119,0.4981
32,62,1.00,0.9264,0.5066,0.8937,0.5084
33,63,1.00,0.9257,0.5017,0.9132,0.5097
34,64,1.00,0.9232,0.5078,0.8991,0.4972
35,65,1.00,0.9229,0.5153,0.8959,0.5253
36,66,1.00,0.9250,0.5303,0.9027,0.5556
37,67,1.00,0.9240,0.5408,0.8940,0.5698
38,68,1.00,0.9274,0.5467,0.9002,0.5848
39,69,1.00,0.9277,0.5532,0.8972,0.5670
40,70,1.00,0.9280,0.5825,0.8992,0.5666
41,71,1.00,0.9291,0.6038,0.9022,0.5998
42,72,1.00,0.9280,0.6223,0.9005,0.6220
43,73,1.00,0.9260,0.6212,0.9041,0.6264
44,74,1.00,0.9236,0.6396,0.9014,0.6344
45,75,1.00,0.9243,0.6565,0.8999,0.6696
46,76,1.00,0.9240,0.6512,0.9021,0.6866
47,77,1.00,0.9255,0.6475,0.9064,0.6831
48,78,1.00,0.9252,0.6660,0.8919,0.6964
49,79,1.00,0.9256,0.6635,0.8997,0.6759
