Loop,N_Points,Alpha,Entropy_Input,CV_NND_Input,Entropy_SHAP,CV_NND_SHAP
0,30,0.00,0.9073,0.0804,0.7799,0.4823
1,31,0.02,0.9074,0.0799,0.8054,0.4420
2,32,0.04,0.9066,0.0796,0.7708,0.4741
3,33,0.06,0.9131,0.0934,0.7568,0.5682
4,34,0.08,0.9173,0.1055,0.8047,0.6202
5,35,0.10,0.9180,0.1280,0.7731,0.5699
6,36,0.12,0.9217,0.1238,0.7950,0.5303
7,37,0.14,0.9214,0.1231,0.7786,0.5159
8,38,0.16,0.9217,0.1323,0.7721,0.5618
9,39,0.18,0.9207,0.1306,0.7833,0.5536
10,40,0.20,0.9202,0.1296,0.7861,0.5321
11,41,0.22,0.9211,0.1282,0.7740,0.6700
12,42,0.24,0.9192,0.1307,0.7768,0.6999
13,43,0.27,0.9194,0.1800,0.7879,0.6335
14,44,0.29,0.9163,0.2670,0.7969,0.6805
15,45,0.31,0.9153,0.3086,0.9002,0.4822
16,46,0.33,0.9206,0.3236,0.8911,0.4845
17,47,0.35,0.9199,0.3200,0.8317,0.6301
18,48,0.37,0.9185,0.3172,0.9008,0.4611
19,49,0.39,0.9147,0.3721,0.8638,0.5140
20,50,0.41,0.9138,0.3694,0.8895,0.5258
21,51,0.43,0.9177,0.3666,0.8901,0.4451
22,52,0.45,0.9176,0.3667,0.8937,0.4807
23,53,0.47,0.9202,0.3656,0.9024,0.4744
24,54,0.49,0.9225,0.3672,0.9257,0.4781
25,55,0.51,0.9229,0.3535,0.9253,0.4354
26,56,0.53,0.9194,0.3897,0.9281,0.4390
27,57,0.55,0.9200,0.3841,0.8631,0.6786
28,58,0.57,0.9174,0.3880,0.9216,0.4416
29,59,0.59,0.9183,0.3863,0.9295,0.4387
30,60,0.61,0.9196,0.3855,0.9271,0.4349
31,61,0.63,0.9207,0.4240,0.9348,0.4685
32,62,0.65,0.9198,0.4485,0.9201,0.5087
33,63,0.67,0.9231,0.4454,0.9246,0.5754
34,64,0.69,0.9212,0.4677,0.9343,0.5401
35,65,0.71,0.9180,0.4632,0.9326,0.5342
36,66,0.73,0.9156,0.4936,0.9349,0.5063
37,67,0.76,0.9147,0.5183,0.9305,0.5219
38,68,0.78,0.9138,0.5474,0.9327,0.5361
39,69,0.80,0.9130,0.5428,0.9389,0.5270
40,70,0.82,0.9135,0.5714,0.9407,0.5545
41,71,0.84,0.9123,0.5863,0.9471,0.5512
42,72,0.86,0.9113,0.5916,0.9418,0.5704
43,73,0.88,0.9115,0.5864,0.9427,0.5845
44,74,0.90,0.9121,0.5814,0.9344,0.5827
45,75,0.92,0.9165,0.6052,0.9416,0.6166
46,76,0.94,0.9193,0.6100,0.9553,0.6409
47,77,0.96,0.9178,0.6142,0.9446,0.6527
48,78,0.98,0.9167,0.6218,0.9439,0.6521
49,79,1.00,0.9193,0.6244,0.9432,0.6508
