Loop,N_Points,Alpha,Entropy_Input,CV_NND_Input,Entropy_SHAP,CV_NND_SHAP
0,30,0.00,0.9062,0.1079,0.7803,0.7394
1,31,0.00,0.9063,0.1068,0.8221,0.6490
2,32,0.00,0.9142,0.1056,0.8374,0.5282
3,33,0.00,0.9183,0.1040,0.8597,0.5216
4,34,0.00,0.9213,0.1010,0.9283,0.2793
5,35,0.00,0.9275,0.1278,0.9315,0.2771
6,36,0.00,0.9286,0.1389,0.9307,0.3085
7,37,0.00,0.9286,0.1382,0.9317,0.3056
8,38,0.00,0.9257,0.1365,0.7859,0.4336
9,39,0.00,0.9308,0.1394,0.7673,0.4401
10,40,0.00,0.9371,0.1468,0.7780,0.5234
11,41,0.00,0.9389,0.1788,0.9168,0.2906
12,42,0.00,0.9352,0.1761,0.7927,0.6408
13,43,0.00,0.9378,0.1875,0.7036,0.6577
14,44,0.00,0.9363,0.1940,0.7661,0.6288
15,45,0.00,0.9342,0.2183,0.7718,0.5875
16,46,0.00,0.9337,0.2121,0.7639,0.6440
17,47,0.00,0.9348,0.2144,0.7987,0.5828
18,48,0.00,0.9338,0.2120,0.9205,0.3222
19,49,0.00,0.9306,0.2109,0.9300,0.3299
20,50,0.00,0.9278,0.2135,0.7310,0.7326
21,51,0.00,0.9273,0.2205,0.7184,0.6064
22,52,0.00,0.9292,0.2112,0.7183,0.6969
23,53,0.00,0.9309,0.2091,0.9210,0.4150
24,54,0.00,0.9279,0.2061,0.8904,0.3491
25,55,0.00,0.9264,0.2081,0.7376,0.6715
26,56,0.00,0.9290,0.2082,0.7392,0.7303
27,57,0.00,0.9283,0.2066,0.6879,0.6944
28,58,0.00,0.9272,0.2053,0.7734,0.6388
29,59,0.00,0.9296,0.2040,0.7524,0.6650
30,60,0.00,0.9321,0.2209,0.7612,0.7249
31,61,0.00,0.9325,0.2162,0.6780,0.7587
32,62,0.00,0.9345,0.2175,0.7756,0.6604
33,63,0.00,0.9374,0.2256,0.7131,0.6916
34,64,0.00,0.9381,0.2225,0.7363,0.8032
35,65,0.00,0.9412,0.2509,0.9171,0.4393
36,66,0.00,0.9419,0.2433,0.7882,0.6536
37,67,0.00,0.9392,0.2414,0.7812,0.6652
38,68,0.00,0.9384,0.2364,0.9102,0.4693
39,69,0.00,0.9366,0.2367,0.9024,0.4871
40,70,0.00,0.9353,0.2327,0.7793,0.6590
41,71,0.00,0.9339,0.2314,0.8200,0.6372
42,72,0.00,0.9318,0.2326,0.8375,0.6219
43,73,0.00,0.9309,0.2314,0.7819,0.7779
44,74,0.00,0.9315,0.2354,0.8455,0.6231
45,75,0.00,0.9288,0.2356,0.8188,0.6529
46,76,0.00,0.9278,0.2419,0.8318,0.6648
47,77,0.00,0.9259,0.2367,0.8977,0.5420
48,78,0.00,0.9245,0.2496,0.8583,0.6268
49,79,0.00,0.9223,0.2480,0.9009,0.5834
