Loop,N_Points,Entropy_Input,CV_NND_Input,Entropy_SHAP,CV_NND_SHAP
0,30,0.9073,0.0804,0.7799,0.4823
1,31,0.9044,0.0745,0.7400,0.7274
2,32,0.9048,0.0873,0.7864,0.6280
3,33,0.9089,0.0932,0.9042,0.1626
4,34,0.9040,0.0717,0.8248,0.4593
5,35,0.9084,0.0828,0.8370,0.4066
6,36,0.9066,0.0948,0.8850,0.3549
7,37,0.9081,0.1002,0.8279,0.5864
8,38,0.9090,0.0891,0.8542,0.4046
9,39,0.9067,0.0879,0.8560,0.4712
10,40,0.9078,0.0821,0.8500,0.4375
11,41,0.9083,0.0753,0.9156,0.2054
12,42,0.9080,0.0983,0.8609,0.5921
13,43,0.9054,0.0995,0.8202,0.5952
14,44,0.9060,0.1217,0.8063,0.4641
15,45,0.9053,0.0918,0.8317,0.5825
16,46,0.9074,0.0713,0.9358,0.3057
17,47,0.9082,0.0785,0.9231,0.2760
18,48,0.9092,0.1106,0.8668,0.4885
19,49,0.9069,0.0842,0.8557,0.4645
20,50,0.9108,0.0934,0.8082,0.5777
21,51,0.9086,0.0987,0.7924,0.4476
22,52,0.9063,0.1051,0.8025,0.6596
23,53,0.9101,0.0920,0.9068,0.4549
24,54,0.9092,0.0864,0.9127,0.3030
25,55,0.9094,0.0911,0.9216,0.3468
26,56,0.9090,0.0854,0.8953,0.4961
27,57,0.9098,0.0808,0.8918,0.4542
28,58,0.9113,0.1054,0.9293,0.3538
29,59,0.9078,0.0826,0.8350,0.6220
30,60,0.9108,0.0887,0.8296,0.6801
31,61,0.9087,0.0883,0.8007,0.5876
32,62,0.9076,0.0881,0.9105,0.3541
33,63,0.9109,0.0869,0.9005,0.4246
34,64,0.9094,0.0892,0.8670,0.4536
35,65,0.9079,0.1025,0.8107,0.6428
36,66,0.9103,0.0808,0.8703,0.4666
37,67,0.9074,0.0902,0.8815,0.5405
38,68,0.9107,0.0875,0.8464,0.6466
39,69,0.9093,0.0938,0.8951,0.4623
40,70,0.9087,0.0774,0.8485,0.5945
41,71,0.9085,0.0960,0.8067,0.6061
42,72,0.9098,0.0993,0.8524,0.5799
43,73,0.9093,0.0958,0.8218,0.5507
44,74,0.9097,0.0937,0.8670,0.5631
45,75,0.9098,0.0810,0.9399,0.3232
46,76,0.9088,0.0886,0.8361,0.6232
47,77,0.9098,0.1111,0.8811,0.5476
48,78,0.9101,0.0835,0.9004,0.3930
49,79,0.9113,0.0799,0.9251,0.3866
50,80,0.9106,0.1066,0.8979,0.4206
