Loop,N_Points,Alpha,Entropy_Input,CV_NND_Input,Entropy_SHAP,CV_NND_SHAP
0,30,0.00,0.9106,0.1088,0.8249,0.3995
1,31,0.02,0.9103,0.1081,0.8324,0.3995
2,32,0.04,0.9178,0.1485,0.8933,0.1372
3,33,0.06,0.9219,0.1897,0.8686,0.1974
4,34,0.08,0.9214,0.1855,0.8630,0.2718
5,35,0.10,0.9194,0.2701,0.8838,0.3359
6,36,0.12,0.9198,0.2813,0.9101,0.2604
7,37,0.14,0.9227,0.3003,0.9053,0.2838
8,38,0.16,0.9258,0.2961,0.9199,0.2878
9,39,0.18,0.9305,0.3043,0.9221,0.2614
10,40,0.20,0.9301,0.3306,0.9221,0.2715
11,41,0.22,0.9269,0.3319,0.9209,0.2696
12,42,0.24,0.9275,0.3276,0.9256,0.2739
13,43,0.27,0.9266,0.3235,0.9141,0.2630
14,44,0.29,0.9234,0.3632,0.9039,0.3318
15,45,0.31,0.9231,0.3575,0.9103,0.3231
16,46,0.33,0.9199,0.3869,0.8516,0.6096
17,47,0.35,0.9204,0.4095,0.9152,0.3774
18,48,0.37,0.9258,0.4386,0.9100,0.4109
19,49,0.39,0.9270,0.4330,0.9087,0.4044
20,50,0.41,0.9252,0.4236,0.9205,0.4272
21,51,0.43,0.9237,0.4461,0.9374,0.4422
22,52,0.45,0.9221,0.4651,0.9101,0.4477
23,53,0.47,0.9240,0.5055,0.9403,0.5040
24,54,0.49,0.9254,0.5078,0.9201,0.4849
25,55,0.51,0.9272,0.5024,0.9266,0.4831
26,56,0.53,0.9257,0.4978,0.9254,0.4785
27,57,0.55,0.9244,0.4925,0.9108,0.5276
28,58,0.57,0.9250,0.4951,0.9271,0.4505
29,59,0.59,0.9238,0.4932,0.9141,0.5076
30,60,0.61,0.9240,0.4954,0.9254,0.4450
31,61,0.63,0.9230,0.5114,0.9220,0.4595
32,62,0.65,0.9212,0.5222,0.9208,0.4555
33,63,0.67,0.9208,0.5287,0.9274,0.4532
34,64,0.69,0.9199,0.5464,0.9309,0.4568
35,65,0.71,0.9195,0.5402,0.9307,0.4385
36,66,0.73,0.9179,0.5567,0.9306,0.4586
37,67,0.76,0.9215,0.5552,0.9151,0.4373
38,68,0.78,0.9183,0.5827,0.9134,0.4445
39,69,0.80,0.9172,0.5993,0.9287,0.5062
40,70,0.82,0.9141,0.6136,0.9174,0.5267
41,71,0.84,0.9138,0.6112,0.9229,0.5270
42,72,0.86,0.9122,0.6160,0.9243,0.5568
43,73,0.88,0.9118,0.6167,0.9260,0.5565
44,74,0.90,0.9110,0.6297,0.9220,0.5492
45,75,0.92,0.9103,0.6270,0.9226,0.5464
46,76,0.94,0.9102,0.6213,0.9193,0.5395
47,77,0.96,0.9092,0.6171,0.9208,0.5175
48,78,0.98,0.9109,0.6305,0.9287,0.5473
49,79,1.00,0.9093,0.6283,0.9239,0.5063
