Var_0,Var_1,Var_2,Var_3,Var_4,Target
5.0,0.5218628817935826,0.39259854432912394,10.0,5.0,0.03209249862671169
3.0,0.8215421268819628,0.06513021422743359,18.0,5.0,0.9999430559816019
5.0,0.7451730885622684,0.31100810690280967,35.0,9.0,0.9087659684277689
3.0,0.027483908573367376,0.37177174178447053,21.0,8.0,0.9999651663501387
5.0,0.3801132881672449,0.13544277524971893,25.0,3.0,0.9999987925993387
5.0,0.8419176333684553,0.2049013932589101,34.0,4.0,0.8977152451551705
4.0,0.8672487417477552,0.6216171410374836,33.0,2.0,0.008919908347266312
4.0,0.7661464151786175,0.9685317111682026,35.0,6.0,7.827370144294531e-09
4.0,0.42779325078844666,0.9374408558373366,36.0,3.0,8.64617795734157e-08
4.0,0.5375964519014192,0.14677643568178625,27.0,5.0,0.9999981213141663
4.0,0.2469980733258293,0.7205412607380869,13.0,8.0,6.623667448449437e-05
3.0,0.3083709954912176,0.825375098252307,14.0,1.0,0.0008401334198964349
3.0,0.940236751322604,0.16606867837405284,29.0,8.0,0.9985156731122717
5.0,0.4789091030301644,0.5456377197775228,39.0,3.0,0.05404785462493863
2.0,0.2896147609591167,0.2434134200000281,16.0,3.0,0.9999999169172558
4.0,0.44896099262006944,0.6759251421677605,18.0,4.0,0.009634489195413746
4.0,0.07452819111235763,0.8795986331888412,24.0,2.0,2.1563344316269347e-05
3.0,0.31600439735248215,0.11622746910321177,34.0,10.0,0.9999999996312112
5.0,0.27379700071063207,0.2614463703360169,38.0,7.0,0.9999998282075089
4.0,0.24007472932421298,0.04388729955069891,11.0,7.0,0.9998731172627976
5.0,0.8087527317145574,0.7762038158197059,16.0,2.0,9.213547672674916e-06
2.0,0.9490688228945087,0.5917253847913757,17.0,7.0,0.0011629108160569708
2.0,0.4128674087789505,0.6025054987617764,19.0,6.0,0.9982833044183287
4.0,0.6252048999194082,0.025840190929202568,20.0,7.0,0.999992969160186
4.0,0.3396696244169639,0.32957266855191586,25.0,9.0,0.9993521293540574
2.0,0.15522546915500976,0.8461126703253011,28.0,4.0,0.1122611668315867
3.0,0.6511869360133473,0.8666996454585361,12.0,8.0,1.8135389904660344e-06
4.0,0.38889095241716104,0.21932086272744183,15.0,1.0,0.9999987941075796
3.0,0.6868711600977775,0.4359945486194251,40.0,7.0,0.9940764131831887
4.0,0.3631046254892618,0.7333347296170107,38.0,9.0,2.569743833837999e-07
3.0,0.15264471104630548,0.477002536750943,37.0,6.0,0.9999972593581119
4.0,0.7034609710665981,0.6522048957518363,20.0,10.0,9.47163954399229e-06
2.0,0.7528732105234714,0.4166714338767125,23.0,1.0,0.9999891349255547
2.0,0.6748029545688806,0.9552135403058069,22.0,2.0,5.894841787986964e-07
3.0,0.5665123611300911,0.18330150303191134,13.0,9.0,0.9949515235114098
2.0,0.20289355094594658,0.5636397460770105,33.0,8.0,0.9998528587951819
4.0,0.9985923379655317,0.4968286553341243,26.0,6.0,0.0006525402521467535
3.0,0.7982407382964363,0.5343328249308062,11.0,3.0,0.43840157016530046
5.0,0.1326332693306403,0.7925153664175159,29.0,6.0,7.560981680215053e-06
3.0,0.17869371660326813,0.44390394458693205,31.0,2.0,0.9999998922875489
3.0,0.46457851265638844,0.9188509133149158,30.0,7.0,7.591051159884356e-07
4.0,0.21257655691202115,0.016944047869594827,38.0,3.0,0.9999999999970202
4.0,0.059505152158289026,0.35109335840649786,17.0,4.0,0.9999855801151958
2.0,0.5705742716219535,0.07862374469370581,32.0,6.0,0.9999999990156818
2.0,0.7142701827634592,0.8075243431855077,31.0,5.0,0.00033027869264505767
3.0,0.028011944307768842,0.7078021763329133,12.0,5.0,0.9211063591399695
3.0,0.10526103134847795,0.9056800751792741,23.0,9.0,1.244107448770395e-06
3.0,0.9732953745401008,0.7481014229075312,31.0,9.0,1.416539217988968e-06
4.0,0.9151408905667137,0.3017882438740174,15.0,8.0,0.010968975849904307
3.0,0.08879989538191106,0.10089501760484845,28.0,5.0,0.9999999998776885
4.0,0.8798775455709571,0.28838541066042983,22.0,2.0,0.9936064801841764
5.0,0.6204716389884026,0.6705109305310071,26.0,4.0,0.00020542419555251096
4.0,0.9082546480232829,0.9853714784578947,21.0,6.0,2.0907925411097872e-08
3.0,0.6036050422569219,0.5119340207809686,25.0,10.0,0.016001982509192585
2.0,0.5019175558748484,0.45811598983897645,37.0,3.0,0.9999996566860896
