Var_0,Var_1,Var_2,Var_3,Var_4,Target
4.0,0.030690516432198008,0.8350315494244817,29.0,7.0,7.1829990366861306e-06
4.0,0.15038596327947526,0.32630594328385,28.0,10.0,0.9999733690935204
4.0,0.9917780152353723,0.34666821800971404,31.0,5.0,0.1349786992434349
2.0,0.91025174846453,0.6046660389817312,23.0,3.0,0.5781737604355761
3.0,0.4886714295517406,0.17030239495363172,23.0,1.0,0.9999998931020778
3.0,0.6420628604415923,0.7438022643583091,12.0,1.0,0.0006649627405158247
5.0,0.7178479867477713,0.13437376641033374,33.0,3.0,0.9999751243385089
4.0,0.1037490525764016,0.0980350154668375,26.0,3.0,0.999999998864177
4.0,0.36359852093804956,0.7926189296423961,14.0,8.0,2.4458278064374334e-05
5.0,0.40258183082004456,0.5815671100552932,40.0,6.0,0.00016379211088373062
2.0,0.5385983085023663,0.9048682485472547,22.0,7.0,9.427833849868065e-06
3.0,0.9542911529276059,0.8743087697101575,21.0,7.0,2.0436904530560988e-07
5.0,0.5554447361047914,0.2823405742488111,14.0,6.0,0.23731283397357159
5.0,0.7968588308837123,0.5385637680500514,20.0,2.0,0.06633456236540032
3.0,0.2182903017243856,0.7385675781184746,37.0,8.0,1.842747723107156e-05
4.0,0.44598966416728114,0.8130576369151488,33.0,10.0,5.894039658977881e-08
4.0,0.5058509714906304,0.3676514811663768,25.0,6.0,0.999189773454546
3.0,0.052447385814103714,0.41519913688482146,27.0,4.0,0.9999999404810975
3.0,0.072751460467189,0.7039490304840833,18.0,8.0,0.00715858991081946
3.0,0.8265986412042415,0.002563123872078921,17.0,4.0,0.9999836440089537
4.0,0.5990740616990555,0.2101620041429001,37.0,9.0,0.9999996306994952
4.0,0.33048980818316553,0.24314171741211138,10.0,2.0,0.999990207132308
2.0,0.8837583846658001,0.04590707375321253,31.0,7.0,0.9999997634416187
4.0,0.29606745170836174,0.6599964621032923,30.0,2.0,0.4035708607053614
2.0,0.36657219599831925,0.18769990239391424,26.0,9.0,0.9999999448673526
4.0,0.755323270218232,0.9966162985039997,17.0,5.0,6.89714072173321e-08
3.0,0.6950610251887254,0.5057171911241157,38.0,2.0,0.9997368420990947
2.0,0.4396572913464049,0.40869680024030874,15.0,4.0,0.9999914097016225
3.0,0.178086824296171,0.8713399755583991,36.0,3.0,1.5173528013149385e-05
3.0,0.7217040613198872,0.5196200566522475,35.0,9.0,0.030552480953418597
5.0,0.9372864065596229,0.6167616551932936,24.0,8.0,3.1205292446216796e-06
3.0,0.6647417682150326,0.9396801647994298,32.0,5.0,3.006860451317592e-07
4.0,0.8079826215724193,0.06776940969216741,20.0,9.0,0.9998441798729402
5.0,0.2108487129300139,0.6742992308063793,16.0,4.0,0.0024308306343125115
2.0,0.571699979292642,0.4849238736966469,34.0,5.0,0.9999967667545759
3.0,0.853513039610032,0.4506401886332446,11.0,7.0,0.0045325659279830755
3.0,0.2748611919986754,0.12579311334657248,39.0,6.0,0.9999999999787401
4.0,0.11442647314115449,0.27075846688984323,13.0,8.0,0.9307492485229675
3.0,0.2449310755907621,0.9505525474372793,19.0,3.0,6.800224094142853e-06
