Loop,N_Points,Alpha,Entropy_Input,CV_NND_Input,Entropy_SHAP,CV_NND_SHAP
0,30,0.00,0.9048,0.0782,0.9065,0.3090
1,31,0.11,0.9072,0.0799,0.7367,0.5505
2,32,0.22,0.9160,0.0807,0.8996,0.3623
3,33,0.33,0.9157,0.0941,0.9174,0.3297
4,34,0.44,0.9130,0.1084,0.9101,0.3733
5,35,0.56,0.9158,0.1086,0.9037,0.3361
6,36,0.67,0.9117,0.1461,0.9187,0.3572
7,37,0.78,0.9101,0.1443,0.9164,0.3673
8,38,0.89,0.9175,0.2062,0.9050,0.3701
9,39,1.00,0.9125,0.2865,0.8810,0.3742
