Loop,N_Points,Alpha,Entropy_Input,CV_NND_Input,Entropy_SHAP,CV_NND_SHAP
0,30,0.50,0.9039,0.0891,0.8845,0.3302
1,31,0.50,0.9094,0.1688,0.8801,0.4091
2,32,0.50,0.9179,0.2160,0.8780,0.3680
3,33,0.50,0.9161,0.2166,0.8797,0.3916
4,34,0.50,0.9190,0.2565,0.8746,0.3069
5,35,0.50,0.9253,0.2556,0.8844,0.3726
6,36,0.50,0.9292,0.2566,0.8716,0.3306
7,37,0.50,0.9261,0.2610,0.8780,0.3274
8,38,0.50,0.9253,0.3170,0.8839,0.3682
9,39,0.50,0.9221,0.3621,0.8763,0.4142
10,40,0.50,0.9240,0.4098,0.8926,0.4803
11,41,0.50,0.9242,0.4516,0.8896,0.4886
12,42,0.50,0.9190,0.4717,0.8898,0.4721
13,43,0.50,0.9206,0.4724,0.8947,0.4475
14,44,0.50,0.9200,0.4701,0.8990,0.4584
15,45,0.50,0.9220,0.4779,0.8899,0.4430
16,46,0.50,0.9259,0.4900,0.8930,0.5093
17,47,0.50,0.9279,0.4769,0.8981,0.4894
18,48,0.50,0.9319,0.4712,0.8943,0.5093
19,49,0.50,0.9302,0.4634,0.8952,0.5035
20,50,0.50,0.9255,0.4648,0.9066,0.5197
21,51,0.50,0.9277,0.4640,0.9054,0.5055
22,52,0.50,0.9272,0.4563,0.8991,0.5076
23,53,0.50,0.9236,0.4547,0.9029,0.4977
24,54,0.50,0.9218,0.4799,0.8718,0.5177
25,55,0.50,0.9228,0.5165,0.8784,0.5275
26,56,0.50,0.9225,0.5356,0.8828,0.5041
27,57,0.50,0.9231,0.5284,0.8840,0.5043
28,58,0.50,0.9207,0.5369,0.8849,0.5086
29,59,0.50,0.9161,0.5614,0.8787,0.5572
30,60,0.50,0.9178,0.5526,0.8926,0.5589
31,61,0.50,0.9149,0.5717,0.8856,0.5819
32,62,0.50,0.9142,0.5722,0.8868,0.6077
33,63,0.50,0.9152,0.5732,0.8908,0.6056
34,64,0.50,0.9175,0.5869,0.8805,0.6186
35,65,0.50,0.9155,0.5881,0.8834,0.6252
36,66,0.50,0.9178,0.5751,0.8876,0.6124
37,67,0.50,0.9173,0.5963,0.8877,0.6014
38,68,0.50,0.9182,0.5933,0.8925,0.6022
39,69,0.50,0.9170,0.6048,0.8897,0.5970
40,70,0.50,0.9196,0.6011,0.8930,0.5760
41,71,0.50,0.9202,0.5985,0.8945,0.5716
42,72,0.50,0.9212,0.5958,0.8899,0.5851
43,73,0.50,0.9197,0.6103,0.8925,0.6051
44,74,0.50,0.9198,0.6109,0.8941,0.6106
45,75,0.50,0.9201,0.6239,0.8936,0.6062
46,76,0.50,0.9215,0.6227,0.8899,0.6038
47,77,0.50,0.9221,0.6304,0.8949,0.5984
48,78,0.50,0.9234,0.6365,0.8920,0.6043
49,79,0.50,0.9247,0.6550,0.8945,0.6252
