Loop,N_Points,Alpha,Entropy_Input,CV_NND_Input,Entropy_SHAP,CV_NND_SHAP
0,30,0.50,0.9071,0.0787,0.9185,0.2033
1,31,0.50,0.9155,0.0944,0.8593,0.4531
2,32,0.50,0.9150,0.1162,0.8450,0.3852
3,33,0.50,0.9136,0.1498,0.8507,0.3601
4,34,0.50,0.9185,0.1713,0.8607,0.4262
5,35,0.50,0.9246,0.1736,0.8830,0.3719
6,36,0.50,0.9311,0.2200,0.8778,0.3312
7,37,0.50,0.9318,0.2581,0.8838,0.4348
8,38,0.50,0.9335,0.2558,0.8924,0.5623
9,39,0.50,0.9305,0.3037,0.8838,0.3818
10,40,0.50,0.9351,0.3217,0.9147,0.2541
11,41,0.50,0.9365,0.3195,0.9344,0.2455
12,42,0.50,0.9366,0.3663,0.9006,0.3478
13,43,0.50,0.9357,0.3768,0.8991,0.3588
14,44,0.50,0.9324,0.3934,0.9002,0.3558
15,45,0.50,0.9320,0.4334,0.9057,0.3412
16,46,0.50,0.9339,0.4264,0.8964,0.3342
17,47,0.50,0.9294,0.4558,0.9053,0.3584
18,48,0.50,0.9315,0.4681,0.9060,0.3919
19,49,0.50,0.9287,0.4735,0.9067,0.4284
20,50,0.50,0.9279,0.4681,0.9092,0.4274
21,51,0.50,0.9280,0.4717,0.9043,0.4511
22,52,0.50,0.9242,0.4774,0.8885,0.4290
23,53,0.50,0.9233,0.4713,0.8940,0.4314
24,54,0.50,0.9218,0.4804,0.9017,0.4297
25,55,0.50,0.9242,0.4779,0.8957,0.4387
26,56,0.50,0.9251,0.4701,0.8998,0.4357
27,57,0.50,0.9243,0.4987,0.9048,0.4890
28,58,0.50,0.9216,0.4934,0.9169,0.4927
29,59,0.50,0.9246,0.4969,0.9039,0.4921
30,60,0.50,0.9237,0.5352,0.8975,0.5323
31,61,0.50,0.9244,0.5444,0.8977,0.5349
32,62,0.50,0.9231,0.5651,0.8949,0.5618
33,63,0.50,0.9223,0.5778,0.8873,0.6023
34,64,0.50,0.9222,0.5762,0.8932,0.6197
35,65,0.50,0.9183,0.5705,0.9000,0.6125
36,66,0.50,0.9147,0.5877,0.9053,0.6310
37,67,0.50,0.9149,0.5895,0.9020,0.6139
38,68,0.50,0.9133,0.6075,0.9030,0.6447
39,69,0.50,0.9109,0.6253,0.9034,0.6537
40,70,0.50,0.9102,0.6372,0.9047,0.6616
41,71,0.50,0.9104,0.6571,0.8971,0.6769
42,72,0.50,0.9102,0.6503,0.8982,0.6832
43,73,0.50,0.9142,0.6533,0.9019,0.7132
44,74,0.50,0.9156,0.6739,0.9026,0.7405
45,75,0.50,0.9165,0.6704,0.9038,0.7236
46,76,0.50,0.9152,0.6855,0.8978,0.7317
47,77,0.50,0.9167,0.6891,0.9008,0.7633
48,78,0.50,0.9165,0.6874,0.8937,0.7642
49,79,0.50,0.9178,0.6821,0.8807,0.7659
