Loop,N_Points,Alpha,Entropy_Input,CV_NND_Input,Entropy_SHAP,CV_NND_SHAP
0,30,0.00,0.9073,0.0913,0.8798,0.2565
1,31,0.00,0.9081,0.0910,0.8988,0.2498
2,32,0.00,0.9082,0.0898,0.8998,0.2604
3,33,0.00,0.9175,0.0995,0.9072,0.2404
4,34,0.00,0.9164,0.0977,0.9062,0.2242
5,35,0.00,0.9150,0.0986,0.9155,0.2574
6,36,0.00,0.9160,0.1002,0.9206,0.2404
7,37,0.00,0.9153,0.0972,0.9113,0.2483
8,38,0.00,0.9123,0.1185,0.9220,0.2414
9,39,0.00,0.9120,0.1235,0.7063,0.7384
10,40,0.00,0.9103,0.1773,0.7509,0.7187
11,41,0.00,0.9106,0.1855,0.7709,0.6803
12,42,0.00,0.9115,0.2226,0.6813,0.8227
13,43,0.00,0.9106,0.2223,0.6463,0.9638
14,44,0.00,0.9131,0.2506,0.8032,0.5802
15,45,0.00,0.9134,0.2481,0.8698,0.4255
16,46,0.00,0.9184,0.2435,0.8585,0.4537
17,47,0.00,0.9176,0.2400,0.8613,0.4555
18,48,0.00,0.9156,0.2391,0.8634,0.4481
19,49,0.00,0.9141,0.2393,0.8895,0.4742
20,50,0.00,0.9111,0.2347,0.8980,0.4783
21,51,0.00,0.9094,0.2438,0.8863,0.4961
22,52,0.00,0.9065,0.2555,0.9190,0.3253
23,53,0.00,0.9031,0.2505,0.8806,0.5141
24,54,0.00,0.8994,0.2526,0.8996,0.4583
25,55,0.00,0.8976,0.2506,0.9219,0.3264
26,56,0.00,0.8937,0.2486,0.9092,0.3127
27,57,0.00,0.8897,0.2533,0.9149,0.3294
28,58,0.00,0.8858,0.2513,0.9104,0.3151
29,59,0.00,0.8817,0.2525,0.7805,0.7473
30,60,0.00,0.8800,0.2505,0.9388,0.4020
31,61,0.00,0.8787,0.2484,0.9142,0.3232
32,62,0.00,0.8750,0.2766,0.7136,0.8656
33,63,0.00,0.8754,0.2713,0.8083,0.5878
34,64,0.00,0.8741,0.2674,0.9321,0.3602
35,65,0.00,0.8700,0.2652,0.9253,0.3508
36,66,0.00,0.8682,0.2595,0.9184,0.5047
37,67,0.00,0.8658,0.2762,0.9154,0.5186
38,68,0.00,0.8630,0.2755,0.9166,0.5391
39,69,0.00,0.8630,0.2715,0.9187,0.5298
40,70,0.00,0.8620,0.2709,0.9458,0.4273
41,71,0.00,0.8587,0.2687,0.9448,0.4358
42,72,0.00,0.8568,0.2674,0.9109,0.5084
43,73,0.00,0.8541,0.2658,0.9117,0.5015
44,74,0.00,0.8525,0.2784,0.9088,0.5035
45,75,0.00,0.8500,0.2757,0.9114,0.4956
46,76,0.00,0.8485,0.2886,0.9148,0.5075
47,77,0.00,0.8482,0.2814,0.9122,0.5061
48,78,0.00,0.8472,0.2913,0.9233,0.4511
49,79,0.00,0.8450,0.3009,0.9236,0.4588
