Loop,N_Points,Alpha,Entropy_Input,CV_NND_Input,Entropy_SHAP,CV_NND_SHAP
0,30,0.50,0.9056,0.0915,0.8823,0.2999
1,31,0.50,0.9155,0.1045,0.9135,0.3182
2,32,0.50,0.9224,0.1034,0.8682,0.3987
3,33,0.50,0.9288,0.1146,0.8684,0.3859
4,34,0.50,0.9363,0.1268,0.8839,0.3968
5,35,0.50,0.9366,0.1316,0.8873,0.4008
6,36,0.50,0.9332,0.1518,0.8984,0.1861
7,37,0.50,0.9299,0.2284,0.9068,0.4470
8,38,0.50,0.9309,0.2346,0.9004,0.4456
9,39,0.50,0.9330,0.2285,0.8810,0.4505
10,40,0.50,0.9337,0.2309,0.9105,0.4308
11,41,0.50,0.9389,0.2406,0.8930,0.4647
12,42,0.50,0.9367,0.2321,0.9118,0.4540
13,43,0.50,0.9375,0.2292,0.9183,0.4520
14,44,0.50,0.9344,0.2878,0.9203,0.4865
15,45,0.50,0.9334,0.2896,0.9157,0.5041
16,46,0.50,0.9308,0.2871,0.9129,0.5049
17,47,0.50,0.9276,0.2845,0.9088,0.5069
18,48,0.50,0.9284,0.2823,0.9245,0.4539
19,49,0.50,0.9252,0.2792,0.9066,0.4967
20,50,0.50,0.9225,0.2793,0.9132,0.4568
21,51,0.50,0.9184,0.2768,0.9122,0.4341
22,52,0.50,0.9188,0.2942,0.9312,0.3260
23,53,0.50,0.9225,0.3033,0.9154,0.4727
24,54,0.50,0.9225,0.3079,0.9397,0.3269
25,55,0.50,0.9205,0.3142,0.9318,0.3152
26,56,0.50,0.9199,0.3322,0.9551,0.3473
27,57,0.50,0.9216,0.3389,0.9376,0.3192
28,58,0.50,0.9205,0.3514,0.9491,0.3949
29,59,0.50,0.9188,0.3507,0.9463,0.4068
30,60,0.50,0.9171,0.3480,0.9458,0.4090
31,61,0.50,0.9141,0.3458,0.9425,0.3965
32,62,0.50,0.9118,0.3428,0.9456,0.3540
33,63,0.50,0.9095,0.3398,0.9354,0.3311
34,64,0.50,0.9071,0.3394,0.9538,0.3810
35,65,0.50,0.9064,0.3370,0.9334,0.3914
36,66,0.50,0.9034,0.3342,0.9355,0.3597
37,67,0.50,0.9013,0.3277,0.9350,0.3673
38,68,0.50,0.8992,0.3249,0.9535,0.4053
39,69,0.50,0.8998,0.3291,0.9386,0.4038
40,70,0.50,0.8969,0.3286,0.9356,0.4055
41,71,0.50,0.8956,0.3261,0.9419,0.3900
42,72,0.50,0.8946,0.3531,0.9480,0.4219
43,73,0.50,0.8927,0.3504,0.9425,0.4339
44,74,0.50,0.8908,0.3518,0.6065,1.4745
45,75,0.50,0.8935,0.3479,0.6148,1.4831
46,76,0.50,0.8949,0.3472,0.9397,0.4061
47,77,0.50,0.8945,0.3482,0.9377,0.3998
48,78,0.50,0.8963,0.3536,0.9278,0.4057
49,79,0.50,0.8955,0.3495,0.9323,0.4064
