Loop,N_Points,Alpha,Entropy_Input,CV_NND_Input,Entropy_SHAP,CV_NND_SHAP
0,30,1.00,0.9039,0.0955,0.8663,0.3531
1,31,1.00,0.9123,0.2205,0.8895,0.3765
2,32,1.00,0.9157,0.2354,0.8624,0.3792
3,33,1.00,0.9242,0.2459,0.8459,0.4696
4,34,1.00,0.9257,0.2741,0.7915,0.6515
5,35,1.00,0.9222,0.3374,0.7991,0.6252
6,36,1.00,0.9298,0.3350,0.8189,0.5712
7,37,1.00,0.9259,0.3644,0.8242,0.4702
8,38,1.00,0.9323,0.3626,0.8806,0.4458
9,39,1.00,0.9330,0.3583,0.8810,0.4224
10,40,1.00,0.9275,0.3609,0.8868,0.4047
11,41,1.00,0.9234,0.3562,0.8791,0.4666
12,42,1.00,0.9240,0.3883,0.9096,0.4228
13,43,1.00,0.9248,0.3867,0.9082,0.4170
14,44,1.00,0.9231,0.3924,0.9166,0.4105
15,45,1.00,0.9237,0.4373,0.9036,0.4152
16,46,1.00,0.9213,0.4538,0.9025,0.4508
17,47,1.00,0.9232,0.4644,0.9132,0.4331
18,48,1.00,0.9214,0.4580,0.8919,0.4747
19,49,1.00,0.9233,0.4735,0.8969,0.4535
20,50,1.00,0.9236,0.4705,0.8986,0.4666
21,51,1.00,0.9242,0.4882,0.8906,0.4760
22,52,1.00,0.9211,0.5235,0.8775,0.5315
23,53,1.00,0.9223,0.5203,0.8876,0.5432
24,54,1.00,0.9235,0.5253,0.8941,0.5224
25,55,1.00,0.9235,0.5309,0.8864,0.5199
26,56,1.00,0.9250,0.5358,0.8786,0.5256
27,57,1.00,0.9247,0.5660,0.8889,0.5456
28,58,1.00,0.9213,0.5785,0.8888,0.5251
29,59,1.00,0.9222,0.5992,0.8922,0.5432
30,60,1.00,0.9219,0.6051,0.8952,0.5446
31,61,1.00,0.9248,0.6232,0.8904,0.5730
32,62,1.00,0.9238,0.6416,0.9019,0.5641
33,63,1.00,0.9222,0.6720,0.8994,0.5978
34,64,1.00,0.9209,0.6718,0.8957,0.5925
35,65,1.00,0.9203,0.6776,0.9010,0.5878
36,66,1.00,0.9217,0.7000,0.9069,0.5959
37,67,1.00,0.9212,0.6897,0.8994,0.6303
38,68,1.00,0.9237,0.7021,0.9034,0.6388
39,69,1.00,0.9242,0.6945,0.8981,0.6383
40,70,1.00,0.9232,0.7171,0.8971,0.6621
41,71,1.00,0.9230,0.7171,0.8988,0.6565
42,72,1.00,0.9257,0.7242,0.9016,0.6625
43,73,1.00,0.9274,0.7468,0.8972,0.6869
44,74,1.00,0.9250,0.7581,0.8960,0.7069
45,75,1.00,0.9252,0.7617,0.8932,0.7148
46,76,1.00,0.9246,0.7700,0.8925,0.6960
47,77,1.00,0.9265,0.7515,0.8983,0.6456
48,78,1.00,0.9239,0.7629,0.8896,0.6255
49,79,1.00,0.9245,0.7710,0.8935,0.6596
