Loop,N_Points,Alpha,Entropy_Input,CV_NND_Input,Entropy_SHAP,CV_NND_SHAP
0,30,1.00,0.9041,0.0756,0.8038,0.4323
1,31,1.00,0.9050,0.1388,0.8945,0.3865
2,32,1.00,0.9065,0.1648,0.9044,0.3772
3,33,1.00,0.9045,0.2596,0.8657,0.4894
4,34,1.00,0.9106,0.2684,0.8689,0.4445
5,35,1.00,0.9160,0.2959,0.8822,0.4276
6,36,1.00,0.9159,0.3019,0.8999,0.4143
7,37,1.00,0.9217,0.3001,0.9139,0.4159
8,38,1.00,0.9286,0.3166,0.8874,0.3792
9,39,1.00,0.9308,0.3265,0.8876,0.3720
10,40,1.00,0.9318,0.3205,0.8826,0.3768
11,41,1.00,0.9312,0.3163,0.9031,0.3929
12,42,1.00,0.9295,0.3165,0.8944,0.3874
13,43,1.00,0.9316,0.3417,0.9130,0.3550
14,44,1.00,0.9304,0.3780,0.8918,0.3763
15,45,1.00,0.9282,0.3997,0.8982,0.4187
16,46,1.00,0.9311,0.4402,0.8844,0.4565
17,47,1.00,0.9290,0.4669,0.8903,0.4863
18,48,1.00,0.9260,0.4656,0.8989,0.4537
19,49,1.00,0.9248,0.4639,0.8877,0.4557
20,50,1.00,0.9229,0.4918,0.8848,0.4917
21,51,1.00,0.9240,0.5020,0.8907,0.4901
22,52,1.00,0.9239,0.4949,0.8870,0.4991
23,53,1.00,0.9213,0.5013,0.9020,0.5097
24,54,1.00,0.9197,0.5395,0.9027,0.5472
25,55,1.00,0.9171,0.5540,0.8851,0.5799
26,56,1.00,0.9180,0.5504,0.9176,0.5650
27,57,1.00,0.9200,0.5672,0.9227,0.5561
28,58,1.00,0.9189,0.5680,0.9003,0.5662
29,59,1.00,0.9185,0.5708,0.9303,0.5500
30,60,1.00,0.9163,0.5863,0.9214,0.5817
31,61,1.00,0.9197,0.5835,0.9240,0.5791
32,62,1.00,0.9204,0.5748,0.9154,0.5769
33,63,1.00,0.9194,0.5980,0.9092,0.6049
34,64,1.00,0.9209,0.6256,0.9179,0.6400
35,65,1.00,0.9245,0.6383,0.9142,0.6855
36,66,1.00,0.9274,0.6494,0.9141,0.6926
37,67,1.00,0.9321,0.6513,0.9140,0.6845
38,68,1.00,0.9326,0.6469,0.9148,0.6869
39,69,1.00,0.9363,0.6449,0.9152,0.7139
40,70,1.00,0.9372,0.6538,0.9234,0.7333
41,71,1.00,0.9407,0.6614,0.9136,0.7669
42,72,1.00,0.9411,0.6787,0.9109,0.7841
43,73,1.00,0.9412,0.6972,0.9091,0.8102
44,74,1.00,0.9456,0.6889,0.9092,0.7993
45,75,1.00,0.9431,0.7073,0.9115,0.8147
46,76,1.00,0.9444,0.7106,0.9100,0.8508
47,77,1.00,0.9459,0.7181,0.9152,0.8795
48,78,1.00,0.9468,0.7413,0.9135,0.9166
49,79,1.00,0.9469,0.7450,0.9123,0.8999
