Loop,N_Points,Alpha,Entropy_Input,CV_NND_Input,Entropy_SHAP,CV_NND_SHAP
0,30,0.00,0.9081,0.0881,0.8683,0.4525
1,31,0.00,0.9088,0.0893,0.8668,0.4443
2,32,0.00,0.9079,0.0911,0.8728,0.4391
3,33,0.00,0.9061,0.0934,0.8643,0.4566
4,34,0.00,0.9076,0.0985,0.8694,0.4619
5,35,0.00,0.9067,0.1114,0.8719,0.4505
6,36,0.00,0.9127,0.1130,0.8382,0.4784
7,37,0.00,0.9090,0.1237,0.8599,0.4635
8,38,0.00,0.9052,0.1228,0.9064,0.3264
9,39,0.00,0.9020,0.1231,0.8512,0.4640
10,40,0.00,0.9057,0.1212,0.8831,0.4493
11,41,0.00,0.9071,0.1206,0.7441,0.7244
12,42,0.00,0.9046,0.1088,0.6858,1.1674
13,43,0.00,0.9105,0.1747,0.6802,1.1976
14,44,0.00,0.9078,0.1768,0.8243,0.6237
15,45,0.00,0.9036,0.1756,0.8479,0.5230
16,46,0.00,0.9040,0.1800,0.8395,0.5623
17,47,0.00,0.8996,0.1786,0.8384,0.5505
18,48,0.00,0.8968,0.1767,0.8551,0.5622
19,49,0.00,0.8917,0.1755,0.8505,0.5771
20,50,0.00,0.8889,0.1757,0.7756,0.6710
21,51,0.00,0.8884,0.1707,0.8475,0.5987
22,52,0.00,0.8882,0.1715,0.8691,0.5832
23,53,0.00,0.8873,0.1699,0.8701,0.5182
24,54,0.00,0.8868,0.1737,0.8618,0.5684
25,55,0.00,0.8838,0.1680,0.8740,0.5724
26,56,0.00,0.8835,0.1679,0.8617,0.5842
27,57,0.00,0.8806,0.1673,0.6963,0.9165
28,58,0.00,0.8835,0.1692,0.8551,0.6115
29,59,0.00,0.8801,0.1686,0.7490,0.8198
30,60,0.00,0.8774,0.1686,0.6909,0.9004
31,61,0.00,0.8785,0.1713,0.7454,0.8185
32,62,0.00,0.8788,0.1814,0.7396,0.7915
33,63,0.00,0.8851,0.1852,0.8162,0.6264
34,64,0.00,0.8857,0.1821,0.7515,0.7739
35,65,0.00,0.8874,0.1869,0.8038,0.6643
36,66,0.00,0.8843,0.2062,0.8179,0.6600
37,67,0.00,0.8836,0.2066,0.8120,0.6719
38,68,0.00,0.8839,0.2053,0.8057,0.6957
39,69,0.00,0.8813,0.2352,0.8506,0.6557
40,70,0.00,0.8777,0.2348,0.8489,0.6683
41,71,0.00,0.8739,0.2446,0.8082,0.6439
42,72,0.00,0.8712,0.2424,0.8272,0.6042
43,73,0.00,0.8716,0.2490,0.8548,0.6508
44,74,0.00,0.8692,0.2487,0.8488,0.6653
45,75,0.00,0.8670,0.2512,0.8635,0.6741
46,76,0.00,0.8650,0.2511,0.8689,0.6432
47,77,0.00,0.8622,0.2656,0.9348,0.4617
48,78,0.00,0.8598,0.2714,0.9339,0.4612
49,79,0.00,0.8568,0.2698,0.9375,0.4578
