Loop,N_Points,Alpha,Entropy_Input,CV_NND_Input,Entropy_SHAP,CV_NND_SHAP
0,30,0.00,0.9048,0.0801,0.8398,0.4599
1,31,0.00,0.9065,0.0919,0.8424,0.4565
2,32,0.00,0.9137,0.0898,0.8423,0.4815
3,33,0.00,0.9235,0.0903,0.8569,0.4592
4,34,0.00,0.9264,0.0906,0.8510,0.4965
5,35,0.00,0.9246,0.0912,0.8439,0.4873
6,36,0.00,0.9216,0.0905,0.7602,0.6825
7,37,0.00,0.9270,0.1321,0.8290,0.5054
8,38,0.00,0.9253,0.1310,0.7200,0.6906
9,39,0.00,0.9223,0.1357,0.7432,0.6408
10,40,0.00,0.9209,0.1415,0.7178,0.6780
11,41,0.00,0.9230,0.1585,0.6691,0.7661
12,42,0.00,0.9239,0.1697,0.7573,0.6168
13,43,0.00,0.9215,0.1693,0.7583,0.6327
14,44,0.00,0.9217,0.1668,0.5908,0.8762
15,45,0.00,0.9198,0.1698,0.8000,0.7116
16,46,0.00,0.9178,0.1679,0.7489,0.9021
17,47,0.00,0.9150,0.1675,0.7587,0.8707
18,48,0.00,0.9159,0.1700,0.8129,0.7818
19,49,0.00,0.9134,0.1938,0.7605,0.8795
20,50,0.00,0.9133,0.1919,0.7718,0.8116
21,51,0.00,0.9128,0.1905,0.8053,0.7673
22,52,0.00,0.9139,0.1871,0.8261,0.7214
23,53,0.00,0.9136,0.1853,0.8401,0.7295
24,54,0.00,0.9139,0.1836,0.6033,1.1138
25,55,0.00,0.9143,0.1830,0.8093,0.7447
26,56,0.00,0.9129,0.1866,0.8394,0.6760
27,57,0.00,0.9125,0.1820,0.8226,0.7063
28,58,0.00,0.9093,0.1856,0.8135,0.7531
29,59,0.00,0.9071,0.1823,0.8213,0.7646
30,60,0.00,0.9043,0.1798,0.8139,0.7604
31,61,0.00,0.9006,0.1786,0.8595,0.6403
32,62,0.00,0.8976,0.1779,0.8143,0.7726
33,63,0.00,0.8960,0.1781,0.8707,0.5841
34,64,0.00,0.8954,0.1794,0.8226,0.7451
35,65,0.00,0.8920,0.1856,0.8141,0.7540
36,66,0.00,0.8905,0.2076,0.5839,1.0906
37,67,0.00,0.8924,0.2164,0.5898,1.0630
38,68,0.00,0.8943,0.2226,0.5827,1.0458
39,69,0.00,0.8956,0.2247,0.5895,1.0758
40,70,0.00,0.8993,0.2199,0.5925,1.0350
41,71,0.00,0.8989,0.2527,0.5962,1.0125
42,72,0.00,0.9025,0.2539,0.6084,0.9967
43,73,0.00,0.9060,0.2522,0.5877,1.0218
44,74,0.00,0.9068,0.2518,0.6030,1.0201
45,75,0.00,0.9086,0.2554,0.6154,0.9873
46,76,0.00,0.9081,0.2538,0.6689,0.9004
47,77,0.00,0.9114,0.2536,0.6011,1.1278
48,78,0.00,0.9120,0.2538,0.6327,0.9754
49,79,0.00,0.9107,0.2488,0.6171,0.8396
