Loop,N_Points,Alpha,Entropy_Input,CV_NND_Input,Entropy_SHAP,CV_NND_SHAP
0,30,1.00,0.9096,0.0933,0.8321,0.4583
1,31,1.00,0.9086,0.1318,0.8467,0.4424
2,32,1.00,0.9162,0.1728,0.8528,0.4805
3,33,1.00,0.9145,0.2095,0.8441,0.4516
4,34,1.00,0.9211,0.2685,0.8518,0.4674
5,35,1.00,0.9186,0.3021,0.8830,0.4628
6,36,1.00,0.9178,0.2940,0.8763,0.4592
7,37,1.00,0.9163,0.3110,0.8755,0.4218
8,38,1.00,0.9185,0.3572,0.8728,0.4244
9,39,1.00,0.9244,0.3510,0.8633,0.4301
10,40,1.00,0.9209,0.3485,0.8635,0.4441
11,41,1.00,0.9225,0.4119,0.8434,0.4714
12,42,1.00,0.9239,0.4095,0.8746,0.4334
13,43,1.00,0.9306,0.4224,0.8535,0.4377
14,44,1.00,0.9300,0.4476,0.8804,0.4033
15,45,1.00,0.9326,0.4766,0.8761,0.4387
16,46,1.00,0.9331,0.4747,0.8693,0.4420
17,47,1.00,0.9336,0.4773,0.8687,0.4053
18,48,1.00,0.9312,0.5148,0.8643,0.4560
19,49,1.00,0.9303,0.5400,0.8718,0.4878
20,50,1.00,0.9291,0.5515,0.8851,0.4698
21,51,1.00,0.9295,0.5518,0.8859,0.4683
22,52,1.00,0.9280,0.5575,0.8991,0.4092
23,53,1.00,0.9270,0.5610,0.9057,0.4040
24,54,1.00,0.9315,0.5598,0.8938,0.4226
25,55,1.00,0.9318,0.5573,0.8943,0.3991
26,56,1.00,0.9298,0.5499,0.8929,0.3931
27,57,1.00,0.9306,0.5503,0.8941,0.3986
28,58,1.00,0.9282,0.5565,0.8933,0.4078
29,59,1.00,0.9319,0.5572,0.8945,0.4181
30,60,1.00,0.9327,0.5469,0.8905,0.4402
31,61,1.00,0.9330,0.5752,0.8880,0.4566
32,62,1.00,0.9336,0.5923,0.9061,0.4890
33,63,1.00,0.9349,0.6053,0.9087,0.5258
34,64,1.00,0.9359,0.6125,0.9065,0.5127
35,65,1.00,0.9340,0.6001,0.9066,0.5105
36,66,1.00,0.9317,0.6238,0.9038,0.5224
37,67,1.00,0.9298,0.6359,0.9058,0.5277
38,68,1.00,0.9308,0.6664,0.9053,0.5583
39,69,1.00,0.9312,0.6593,0.9067,0.5872
40,70,1.00,0.9319,0.6616,0.9020,0.5831
41,71,1.00,0.9328,0.6598,0.9014,0.6071
42,72,1.00,0.9318,0.6806,0.9103,0.6004
43,73,1.00,0.9358,0.6981,0.9127,0.6265
44,74,1.00,0.9351,0.7038,0.9128,0.6219
45,75,1.00,0.9328,0.7144,0.9074,0.6274
46,76,1.00,0.9362,0.7037,0.8829,0.7240
47,77,1.00,0.9385,0.7022,0.8930,0.7058
48,78,1.00,0.9365,0.7099,0.9063,0.6830
49,79,1.00,0.9377,0.7109,0.9146,0.6852
