Loop,N_Points,Alpha,Entropy_Input,CV_NND_Input,Entropy_SHAP,CV_NND_SHAP
0,30,0.00,0.9073,0.0911,0.8875,0.1796
1,31,0.00,0.9157,0.0828,0.8917,0.1818
2,32,0.00,0.9250,0.0896,0.8633,0.4700
3,33,0.00,0.9260,0.0899,0.8800,0.2154
4,34,0.00,0.9279,0.1018,0.7950,0.6084
5,35,0.00,0.9261,0.0996,0.8345,0.5603
6,36,0.00,0.9233,0.0983,0.9055,0.3176
7,37,0.00,0.9199,0.1029,0.9086,0.3435
8,38,0.00,0.9202,0.1039,0.6648,0.9783
9,39,0.00,0.9186,0.1031,0.9176,0.3245
10,40,0.00,0.9155,0.1054,0.5828,1.2360
11,41,0.00,0.9153,0.1148,0.5986,1.1402
12,42,0.00,0.9210,0.1327,0.6926,0.8232
13,43,0.00,0.9260,0.1435,0.9093,0.3394
14,44,0.00,0.9227,0.1458,0.5912,1.3089
15,45,0.00,0.9264,0.1545,0.6474,1.0768
16,46,0.00,0.9279,0.1786,0.6522,1.0096
17,47,0.00,0.9268,0.1769,0.6019,1.3477
18,48,0.00,0.9297,0.1893,0.5998,1.3781
19,49,0.00,0.9296,0.1908,0.6934,0.9295
20,50,0.00,0.9332,0.1950,0.5984,1.2971
21,51,0.00,0.9362,0.2110,0.6322,1.1335
22,52,0.00,0.9323,0.2134,0.7831,0.6103
23,53,0.00,0.9322,0.2275,0.5866,1.2498
24,54,0.00,0.9338,0.2254,0.7604,0.6528
25,55,0.00,0.9341,0.2245,0.7833,0.6723
26,56,0.00,0.9356,0.2227,0.8517,0.5734
27,57,0.00,0.9346,0.2186,0.8503,0.5565
28,58,0.00,0.9344,0.2153,0.8368,0.5919
29,59,0.00,0.9335,0.2061,0.8707,0.5273
30,60,0.00,0.9300,0.2069,0.6724,1.0357
31,61,0.00,0.9320,0.2261,0.8632,0.5377
32,62,0.00,0.9284,0.2244,0.5944,1.4006
33,63,0.00,0.9277,0.2247,0.8602,0.5243
34,64,0.00,0.9253,0.2250,0.8544,0.5361
35,65,0.00,0.9226,0.2254,0.8578,0.5351
36,66,0.00,0.9202,0.2336,0.8616,0.5284
37,67,0.00,0.9177,0.2285,0.8715,0.5199
38,68,0.00,0.9148,0.2267,0.8762,0.5102
39,69,0.00,0.9118,0.2250,0.8813,0.5091
40,70,0.00,0.9083,0.2246,0.8781,0.5171
41,71,0.00,0.9061,0.2314,0.8791,0.5114
42,72,0.00,0.9025,0.2324,0.8793,0.5243
43,73,0.00,0.9008,0.2279,0.8823,0.5346
44,74,0.00,0.8988,0.2165,0.8796,0.5353
45,75,0.00,0.8959,0.2244,0.9069,0.4729
46,76,0.00,0.8936,0.2233,0.9139,0.4791
47,77,0.00,0.8907,0.2409,0.9092,0.4874
48,78,0.00,0.8883,0.2394,0.9014,0.4964
49,79,0.00,0.8851,0.2506,0.9009,0.5061
