Var_0,Var_1,Var_2,Var_3,Var_4,Target
2.0,0.3629795143381328,0.6669375836695234,15.0,8.0,0.050006292197175534
3.0,0.1903045850818032,0.4352948149902482,34.0,9.0,0.9999735384740561
4.0,0.9366098332435174,0.4949593677605469,35.0,8.0,0.00019072707309752217
4.0,0.1351887164788369,0.22937665318997738,14.0,7.0,0.9972947633182863
5.0,0.2392567586259443,0.5526354818935999,23.0,10.0,3.8616099280556714e-05
3.0,0.0919872143992641,0.6215584929200972,12.0,2.0,0.9992784959797872
4.0,0.6519065481221961,0.8839886692747189,19.0,10.0,8.236827234785162e-08
4.0,0.027396715899861902,0.3005742196173235,32.0,6.0,0.9999999344487008
2.0,0.47037075530272826,0.9394199193064512,31.0,7.0,2.4825959612060588e-06
2.0,0.24162233132350927,0.35807892548681497,25.0,4.0,0.9999999599859584
5.0,0.5589049479344994,0.404588686948358,38.0,5.0,0.8155915116179089
5.0,0.40035519238990624,0.19037233900101436,18.0,2.0,0.9999965728841723
4.0,0.6738297812937555,0.27010337915164645,17.0,9.0,0.5260104352550368
3.0,0.4983285163397689,0.09767156017589686,11.0,3.0,0.9999967143961467
3.0,0.1506874717660974,0.7175757946202603,38.0,3.0,0.20864597831665047
4.0,0.5878445175026648,0.9701987094354689,37.0,7.0,3.977369137968887e-09
5.0,0.31270559469584536,0.810424246923668,16.0,5.0,1.1855959095458671e-05
4.0,0.9764025195429744,0.6382652999958646,29.0,4.0,0.0002124621948095317
2.0,0.8894635270141816,0.2483348075115009,21.0,5.0,0.9999529277872322
4.0,0.5130875771216399,0.7418526936366133,27.0,1.0,0.0007369761146994505
3.0,0.43398318933946006,0.06096131345710529,23.0,8.0,0.9999998762944171
3.0,0.7221234957485134,0.3907032599279833,40.0,4.0,0.9999891889126201
4.0,0.7554458701733958,0.032155778272048394,29.0,6.0,0.9999942584399765
2.0,0.6299863655406703,0.7837648494331277,21.0,2.0,0.0004125509868346334
3.0,0.9040249445088911,0.8498745958969095,12.0,6.0,4.525852689302606e-07
3.0,0.8289773387941852,0.14515981568523667,27.0,1.0,0.9999985188444733
4.0,0.30231305388071694,0.13034016440369586,35.0,3.0,0.9999999992868032
5.0,0.8413884678455208,0.5900805248547749,14.0,5.0,7.682787920062458e-05
3.0,0.04600654773314531,0.9312718319890477,25.0,7.0,5.247729798967246e-06
3.0,0.7930191227565574,0.5009697107313036,31.0,9.0,0.05449438740863414
