Loop,N_Points,Alpha,Entropy_Input,CV_NND_Input,Entropy_SHAP,CV_NND_SHAP
0,30,0.00,0.9098,0.0907,0.8279,0.5961
1,31,0.00,0.9115,0.0889,0.9056,0.3815
2,32,0.00,0.9192,0.0885,0.8986,0.4380
3,33,0.00,0.9178,0.0884,0.9183,0.2667
4,34,0.00,0.9199,0.1015,0.9011,0.2867
5,35,0.00,0.9251,0.1057,0.8972,0.3332
6,36,0.00,0.9303,0.1087,0.9182,0.3718
7,37,0.00,0.9310,0.1072,0.9187,0.3727
8,38,0.00,0.9277,0.1060,0.9151,0.3396
9,39,0.00,0.9245,0.1047,0.9090,0.3228
