Parameter,S1,S1_conf,ST,ST_conf
price_to_dispose,0.24836357440792875,0.04829889817548748,0.30862542495178885,0.031486199045385285
scarcity,0.04164423913784675,0.019536011531158273,0.061505474336450636,0.008810459020082321
cluster_spread,0.02723630540061134,0.01680655375609206,0.03939276860810952,0.005720631664227841
km_cost,0.5983745488582479,0.055846829843498466,0.6804563089802959,0.06589708422358043
