Parameter,S1,S1_conf,ST,ST_conf
price_to_dispose,0.1290175454779114,0.06745039589143913,0.38066236603007414,0.06628036264349838
scarcity,0.37283949229269675,0.05132260993069106,0.6075816388603814,0.10104842953469606
cluster_spread,0.005408632978318926,0.028414840367512077,0.1070120581248129,0.022260679627946645
km_cost,0.09887688784399698,0.05306446823869849,0.38598701995494616,0.06316774574335558
