price_to_dispose,scarcity,density,cluster_spread,km_cost,price,symbiose
0.29296875,0.559228515625,0.0044830615234375,0.48681640625,0.601416015625,20.40436966237629,1.0
0.29296875,0.559228515625,0.0044830615234375,0.48681640625,0.601416015625,21.95824154536977,1.0
0.29296875,0.8152832031249999,0.0058781494140625,0.48681640625,0.601416015625,18.61970525036207,1.0
0.29296875,0.8152832031249999,0.0044830615234375,0.48681640625,0.601416015625,33.695135180096685,1.0
0.29296875,0.559228515625,0.0044830615234375,0.48681640625,0.601416015625,26.35689401512485,1.0
0.29296875,0.8152832031249999,0.0058781494140625,0.48681640625,0.601416015625,22.04743141586423,1.0
0.29296875,0.8152832031249999,0.0044830615234375,0.69677734375,0.601416015625,38.99858072295016,1.0
0.29296875,0.8152832031249999,0.0044830615234375,0.69677734375,0.601416015625,33.229445968068916,1.0
168.84765625,0.8152832031249999,0.0044830615234375,0.48681640625,0.601416015625,-105.9256154692263,1.0
0.29296875,0.8152832031249999,0.0058781494140625,0.48681640625,0.601416015625,50.159458611637824,1.0
0.29296875,0.8152832031249999,0.0044830615234375,0.48681640625,0.601416015625,36.03097572429374,0.9982718894009217
0.29296875,0.8152832031249999,0.0044830615234375,0.48681640625,0.601416015625,85.8401057037582,0.9945241044757402
168.84765625,0.8152832031249999,0.0044830615234375,0.48681640625,0.601416015625,13.36868081486993,1.0
168.84765625,0.8152832031249999,0.0044830615234375,0.48681640625,0.601416015625,73.61284988845527,1.0
0.29296875,0.8152832031249999,0.0044830615234375,0.69677734375,0.601416015625,19.4209501570051,1.0
0.29296875,0.559228515625,0.0058781494140625,0.69677734375,0.704248046875,18.573501291577077,1.0
0.29296875,0.559228515625,0.0058781494140625,0.69677734375,0.704248046875,21.739892826413826,1.0
0.29296875,0.8152832031249999,0.0044830615234375,0.48681640625,0.704248046875,22.639531224011392,1.0
0.29296875,0.559228515625,0.0058781494140625,0.69677734375,0.704248046875,23.919407494947023,1.0
168.84765625,0.559228515625,0.0044830615234375,0.69677734375,0.704248046875,-130.67589252929204,1.0
0.29296875,0.8152832031249999,0.0044830615234375,0.48681640625,0.704248046875,74.56241349056094,0.9960202803722851
0.29296875,0.8152832031249999,0.0044830615234375,0.48681640625,0.704248046875,57.635930304532636,0.9824725773803296
168.84765625,0.559228515625,0.0044830615234375,0.69677734375,0.704248046875,-131.1552730955588,1.0
168.84765625,0.8152832031249999,0.0058781494140625,0.69677734375,0.704248046875,-127.96959107873765,1.0
168.84765625,0.8152832031249999,0.0058781494140625,0.69677734375,0.704248046875,-7.215766706963285,1.0
168.84765625,0.559228515625,0.0044830615234375,0.69677734375,0.704248046875,-123.04484568336079,1.0
168.84765625,0.8152832031249999,0.0058781494140625,0.69677734375,0.704248046875,-57.596624169850145,1.0
168.84765625,0.559228515625,0.0058781494140625,0.48681640625,0.704248046875,-135.63595547504752,1.0
168.84765625,0.559228515625,0.0058781494140625,0.48681640625,0.704248046875,-137.26989610223941,1.0
168.84765625,0.559228515625,0.0058781494140625,0.69677734375,0.601416015625,-139.56730422407182,1.0
168.84765625,0.559228515625,0.0058781494140625,0.69677734375,0.601416015625,-137.52214577014152,1.0
168.84765625,0.559228515625,0.0058781494140625,0.48681640625,0.704248046875,-128.88737973494887,1.0
168.84765625,0.559228515625,0.0058781494140625,0.69677734375,0.601416015625,-135.4014836510975,1.0
168.84765625,0.559228515625,0.0058781494140625,0.69677734375,0.704248046875,-132.88904468999243,1.0
168.84765625,0.559228515625,0.0058781494140625,0.69677734375,0.704248046875,-126.06600510476373,1.0
168.84765625,0.559228515625,0.0058781494140625,0.69677734375,0.704248046875,-104.51091081169152,1.0
100.29296875,1.765283203125,0.0094780615234375,0.98681640625,0.151416015625,87.43430480041562,1.0
68.84765625,1.765283203125,0.0094780615234375,0.98681640625,0.151416015625,87.82038333513661,1.0
100.29296875,1.765283203125,0.0094780615234375,0.98681640625,0.151416015625,87.90964040255373,1.0
100.29296875,1.765283203125,0.0094780615234375,0.98681640625,0.151416015625,90.44122881139855,0.9963541666666667
100.29296875,1.509228515625,0.0094780615234375,0.98681640625,0.151416015625,87.8294471441529,1.0
68.84765625,1.765283203125,0.0094780615234375,0.98681640625,0.151416015625,90.66894018401597,1.0
68.84765625,1.765283203125,0.0094780615234375,0.98681640625,0.151416015625,89.67915378162253,1.0
100.29296875,1.765283203125,0.0008831494140625001,0.98681640625,0.151416015625,84.96005079874332,1.0
100.29296875,1.765283203125,0.0008831494140625001,0.98681640625,0.151416015625,81.04098563412202,1.0
100.29296875,1.509228515625,0.0094780615234375,0.98681640625,0.151416015625,87.54913058040796,1.0
100.29296875,1.509228515625,0.0094780615234375,0.98681640625,0.151416015625,88.22139741193827,1.0
100.29296875,1.765283203125,0.0008831494140625001,0.98681640625,0.151416015625,84.42019438352237,1.0
100.29296875,1.765283203125,0.0094780615234375,0.19677734375,0.151416015625,87.23714590194562,1.0
100.29296875,1.765283203125,0.0094780615234375,0.19677734375,0.151416015625,88.44041742772619,1.0
100.29296875,1.765283203125,0.0094780615234375,0.19677734375,0.151416015625,91.1947773023174,1.0
100.29296875,1.509228515625,0.0008831494140625001,0.19677734375,0.254248046875,81.95493538830112,1.0
100.29296875,1.509228515625,0.0008831494140625001,0.19677734375,0.254248046875,83.77602010916436,1.0
68.84765625,1.765283203125,0.0008831494140625001,0.19677734375,0.254248046875,86.27419505986366,1.0
100.29296875,1.509228515625,0.0008831494140625001,0.19677734375,0.254248046875,84.8833148035159,1.0
100.29296875,1.765283203125,0.0094780615234375,0.98681640625,0.254248046875,87.9229675081082,1.0
100.29296875,1.765283203125,0.0094780615234375,0.98681640625,0.254248046875,90.32751140087301,1.0
100.29296875,1.765283203125,0.0094780615234375,0.98681640625,0.254248046875,89.44134211642604,1.0
68.84765625,1.765283203125,0.0008831494140625001,0.19677734375,0.254248046875,80.85289672828273,0.9998043052837573
68.84765625,1.509228515625,0.0094780615234375,0.19677734375,0.254248046875,89.12729120518851,1.0
68.84765625,1.509228515625,0.0008831494140625001,0.98681640625,0.254248046875,84.44645438636505,1.0
68.84765625,1.509228515625,0.0008831494140625001,0.98681640625,0.254248046875,82.58999149801986,1.0
68.84765625,1.765283203125,0.0008831494140625001,0.19677734375,0.254248046875,89.13408883328029,1.0
68.84765625,1.509228515625,0.0094780615234375,0.19677734375,0.254248046875,90.35807422704781,1.0
68.84765625,1.509228515625,0.0094780615234375,0.19677734375,0.254248046875,86.72395445800038,1.0
150.29296875,0.340283203125,0.0019855615234375,0.23681640625,0.37641601562500004,-116.63859183857012,1.0
150.29296875,0.340283203125,0.0019855615234375,0.23681640625,0.37641601562500004,-124.31444086567271,1.0
68.84765625,1.509228515625,0.0008831494140625001,0.98681640625,0.254248046875,78.34619900793797,1.0
68.84765625,1.509228515625,0.0008831494140625001,0.19677734375,0.254248046875,82.35589251635908,1.0
68.84765625,1.509228515625,0.0008831494140625001,0.19677734375,0.254248046875,81.74983203549984,1.0
68.84765625,1.509228515625,0.0008831494140625001,0.19677734375,0.151416015625,87.58462213785438,1.0
150.29296875,0.340283203125,0.0019855615234375,0.23681640625,0.37641601562500004,-119.02035867715139,1.0
18.84765625,0.340283203125,0.0019855615234375,0.23681640625,0.37641601562500004,0.7339262914052688,1.0
68.84765625,1.509228515625,0.0008831494140625001,0.19677734375,0.151416015625,84.59433817841509,1.0
68.84765625,1.509228515625,0.0008831494140625001,0.19677734375,0.254248046875,83.90774081586059,1.0
