Parameter,S1,S1_conf,ST,ST_conf
price_to_dispose,0.3057736865609235,0.07213145048847609,0.534568535169714,0.07565257022130722
scarcity,0.06472748380193309,0.033074633987875045,0.15300564704969885,0.02706990402504359
cluster_spread,0.0,0.01437579245597729,0.029300282777440262,0.006896619284221835
km_cost,0.33558013721464963,0.06284765882801524,0.6000059675201149,0.09362519265101671
