Parameter,S1,S1_conf,ST,ST_conf
price_to_dispose,0.2835828006886667,0.08642236537895585,0.6127829419311192,0.08209305424155428
scarcity,0.1081941133571154,0.041875298661253765,0.25283785593642594,0.04266380133979433
cluster_spread,0.000323754647920443,0.004453697240967529,0.003411595865483974,0.000569776986177886
km_cost,0.18731143777028297,0.0658439295452171,0.5245117762471239,0.09597275423941279
