Parameter,S1,S1_conf,ST,ST_conf
price_to_dispose,0.21431546208820337,0.046381429012697414,0.2588807633449464,0.028579791319277674
scarcity,0.03693203781905128,0.021860984404212157,0.05870356987500755,0.007628135896562477
cluster_spread,0.04131527032701729,0.020676431947074775,0.07971894805085854,0.018476254817447198
km_cost,0.6261135377086599,0.058873998550541325,0.6971049583411342,0.06257269176276059
