Var_0,Var_1,Var_2,Var_3,Var_4,Target
4.0,0.8181055416192728,0.15121178180664938,38.0,8.0,0.9999946169177112
4.0,0.9587343074564654,0.3329323092384065,23.0,2.0,0.920674896636356
4.0,0.7621522837256448,0.8613036627389273,19.0,2.0,3.7367746175932823e-06
4.0,0.4757434396917558,0.16468032678544545,30.0,9.0,0.9999997736817662
3.0,0.30966071006668416,0.9552610842110784,34.0,4.0,4.963225311554724e-07
4.0,0.12319155521666932,0.24826328201824854,16.0,8.0,0.9975422742173198
5.0,0.2949511584176434,0.8952121300697308,28.0,6.0,3.491197936848672e-07
5.0,0.5644019551496945,0.6170494655194978,19.0,8.0,3.26646193882837e-05
3.0,0.6011887851795513,0.9884397648148278,15.0,6.0,3.382778535958406e-07
5.0,0.6672245504508393,0.10783213320188703,26.0,5.0,0.9998262209242521
4.0,0.6856489199881031,0.56956639967893,37.0,2.0,0.32557377739652194
5.0,0.49052625219259377,0.531153110293615,36.0,8.0,0.00014697805940693914
4.0,0.4157052084858234,0.2596438524054594,12.0,4.0,0.9997234274517154
2.0,0.7008190239911106,0.8716248895792448,32.0,5.0,2.469689591904991e-05
5.0,0.3471920600789536,0.3115131975492091,37.0,3.0,0.999999069189508
3.0,0.0742679515504463,0.010000484852124479,19.0,3.0,0.9999999992962012
4.0,0.7877057170588321,0.4859922763902024,10.0,6.0,0.001063562817009079
2.0,0.1957348331194379,0.371401049528061,20.0,4.0,0.9999998650830617
4.0,0.9357236200998205,0.4090922924923837,24.0,9.0,0.0007482410801182961
4.0,0.449780576625453,0.45128680547535654,22.0,1.0,0.9999599509703349
2.0,0.6149876346606349,0.28201672187677057,28.0,6.0,0.9999993655267467
3.0,0.9928602185343683,0.8037111752966396,24.0,6.0,1.967489495623195e-06
3.0,0.9017286629588436,0.3887264399024769,35.0,8.0,0.9584191084325925
3.0,0.8733665606078944,0.6429620340305632,13.0,3.0,0.0016696752996368362
3.0,0.03906421218022649,0.7189681897398221,22.0,7.0,0.051524372157746426
5.0,0.9754941849107238,0.450298722006755,17.0,4.0,0.0013652593523270046
3.0,0.5359678588404877,0.8230134645437095,25.0,1.0,0.0001967867757188571
2.0,0.5173478234238034,0.18664136259269162,11.0,7.0,0.9999838205815016
4.0,0.9131966686108417,0.8407785566353179,33.0,9.0,2.4570332635601428e-08
3.0,0.5761391547776982,0.19941056094841375,22.0,1.0,0.9999993852200668
3.0,0.21518239656421098,0.726833344019625,14.0,2.0,0.5306153967930571
2.0,0.32814826284156307,0.6716350405900698,12.0,9.0,0.0010671326343997863
3.0,0.774573116297698,0.08085897738672329,34.0,4.0,0.9999999307351629
3.0,0.1625642784824237,0.13270738450932698,32.0,7.0,0.9999999997688154
4.0,0.5020120585103609,0.5274444268142212,25.0,6.0,0.4536903752718715
2.0,0.8263245623222845,0.5619163146455128,18.0,7.0,0.11046016958324971
3.0,0.3887806040844614,0.7000330389072776,40.0,8.0,2.0190412612078234e-05
3.0,0.36571191771881667,0.2262022046318591,36.0,2.0,0.9999999992939899
3.0,0.6440709823365778,0.908100925774146,29.0,9.0,1.0915683491718295e-07
4.0,0.2776158618212065,0.7456008421491623,12.0,5.0,0.0005335811880731557
5.0,0.1421618030198723,0.33551848334303785,21.0,5.0,0.9992198631816527
3.0,0.05103553685270142,0.5044090232055021,31.0,3.0,0.9999997290772574
2.0,0.18412803095188635,0.6072881570872102,38.0,5.0,0.9999901885073414
4.0,0.02676559203623541,0.6494464501182303,31.0,10.0,7.021224184759283e-05
5.0,0.09755187206525144,0.780503013085981,27.0,2.0,0.00031557086334977913
5.0,0.7296151680130128,0.932841167620523,32.0,3.0,2.739145628828539e-08
3.0,0.846955153326168,0.04707018999626796,14.0,4.0,0.9999348832950378
4.0,0.7114656657024848,0.06121185553286587,15.0,9.0,0.9995377263132893
2.0,0.423485891926183,0.4268796652623535,27.0,10.0,0.9999269332092162
4.0,0.25104105890034917,0.03425753649789425,39.0,6.0,0.9999999999902094
4.0,0.23161611236236104,0.9675134186422578,17.0,10.0,5.305788181402254e-08
