Var_0,Var_1,Var_2,Var_3,Var_4,Target
3.0,0.4073383479558258,0.9840122510343715,17.0,3.0,6.451553836618092e-07
4.0,0.464086028554388,0.41121165936919535,39.0,6.0,0.9997648316937111
3.0,0.052345483726631795,0.5933233244176944,14.0,8.0,0.10339822301459695
3.0,0.6361917841240364,0.6884666557294686,37.0,9.0,9.486664178351759e-06
4.0,0.17399106283619087,0.6232633115102766,10.0,3.0,0.2224941422639155
5.0,0.8771281375010245,0.4506468955609778,30.0,5.0,0.0003237392933038343
4.0,0.9386630605078478,0.32064618380597903,15.0,4.0,0.469004317156964
3.0,0.300969491602978,0.9687690909285239,25.0,9.0,1.4827605555757792e-07
4.0,0.36478630501091286,0.053917299885301,36.0,3.0,0.9999999998424274
3.0,0.6403534350686139,0.191594131401981,15.0,4.0,0.9999583857987875
4.0,0.23678016882840408,0.07724458416513648,18.0,2.0,0.9999999076716012
4.0,0.8019946985209697,0.1176025088912591,28.0,1.0,0.9999960232666023
5.0,0.7283394282420859,0.10790905279795829,23.0,7.0,0.9992745976114643
5.0,0.5472129493254467,0.5725566074372308,38.0,2.0,0.03547997902487298
2.0,0.4181465122976429,0.021537969790613138,33.0,8.0,0.9999999999652549
2.0,0.13317146685580022,0.13496047480160553,19.0,6.0,0.9999999921375483
3.0,0.28414202899756863,0.22432454134244081,22.0,1.0,0.9999999671314346
5.0,0.6881134818922214,0.1583027250470753,20.0,3.0,0.9998521672003265
5.0,0.09588987987597197,0.8854117274463732,18.0,5.0,7.579308136605951e-06
2.0,0.9461191725314726,0.36017330320816443,31.0,6.0,0.9999568206209503
4.0,0.6738415525893358,0.9428652257138855,26.0,4.0,2.542613006418595e-07
3.0,0.9759224734660151,0.7754059596987571,32.0,2.0,4.890530120742565e-05
5.0,0.31534465263774053,0.5980121527934801,21.0,10.0,1.1227571747781897e-05
4.0,0.039056185534872945,0.39662361776071725,27.0,5.0,0.9999974621259025
4.0,0.10874558459078579,0.01079665587736995,22.0,7.0,0.9999999899784239
2.0,0.46997109019734995,0.2546530221067476,34.0,3.0,0.9999999990544468
3.0,0.02109820821832557,0.9144932985967661,27.0,4.0,4.348879276717393e-05
4.0,0.5761718891582935,0.5500182284227159,19.0,1.0,0.9902746390771269
4.0,0.07751232573974033,0.29312032505935626,36.0,9.0,0.9999999630613043
3.0,0.38277585643607226,0.28483264785948487,24.0,10.0,0.9999740977359328
4.0,0.18829429827267874,0.7674935964230283,29.0,2.0,0.0006975889817251058
2.0,0.910058047305209,0.738904215900132,15.0,3.0,7.093199331288068e-05
5.0,0.2586832501563941,0.42401863123032474,26.0,5.0,0.9975731774167018
4.0,0.6992186293065916,0.4723949289944098,13.0,9.0,0.00021627705820933884
3.0,0.5823964043037991,0.8007696754735774,38.0,4.0,1.9315623036798403e-05
3.0,0.5092043017276539,0.5185642667511183,22.0,6.0,0.9974690473784908
4.0,0.9825647192745556,0.8259940510662529,17.0,7.0,2.1529085333879022e-07
2.0,0.43806728357660174,0.6589137802738381,16.0,9.0,0.005894185689531909
3.0,0.8870609665961163,0.6489928481421602,24.0,9.0,3.138177424805272e-05
3.0,0.2043096277356616,0.4936601560868611,40.0,2.0,0.9999997228639117
4.0,0.25052039370490936,0.8709392142034442,34.0,7.0,2.1002860432830761e-07
2.0,0.6016971868259425,0.9319650594997331,29.0,6.0,4.694142456111946e-06
4.0,0.33762005870962347,0.23301742907106945,11.0,6.0,0.9491340096765353
4.0,0.7589828525157654,0.371269613664494,32.0,10.0,0.3049216567933146
2.0,0.7760445029759971,0.20601724102281177,13.0,8.0,0.9996687756061478
5.0,0.5380496565752039,0.6950495451094593,12.0,5.0,2.148374102462088e-05
3.0,0.8440767068454117,0.34545719873522157,39.0,5.0,0.9999824854306323
2.0,0.48954819112106174,0.7160534701839145,31.0,2.0,0.8404540484015709
3.0,0.7463207562477252,0.8639361038282676,12.0,7.0,1.1604923476440894e-06
3.0,0.15247870909709732,0.5270447450633249,35.0,8.0,0.9970454824520631
4.0,0.827212850665684,0.8333715930808163,34.0,8.0,8.275205873943669e-08
3.0,0.8610984783664274,0.0657774148351603,26.0,7.0,0.999968708638047
