Var_0,Var_1,Var_2,Var_3,Var_4,Target
4.0,0.1730739153588445,0.8749376297834282,27.0,8.0,1.1648038041837279e-06
4.0,0.8899875462416201,0.3993810945964709,14.0,8.0,0.0007982716771666308
4.0,0.30544139063293785,0.8541642576530654,39.0,7.0,4.926233451308757e-08
4.0,0.9925562003901676,0.7706134045884689,34.0,6.0,7.681978453834918e-07
5.0,0.08434096309957725,0.720732182495503,35.0,6.0,3.438357439645743e-05
3.0,0.40417245283920916,0.24683060565640896,36.0,9.0,0.9999999800104551
4.0,0.5233607408007092,0.552022461799102,29.0,9.0,0.0003862115570315203
5.0,0.300083490802547,0.3074878265329078,34.0,10.0,0.9999818163412211
4.0,0.5661912052035154,0.32448782172003326,28.0,2.0,0.9999925758895017
3.0,0.7152005098873819,0.15237361802046043,40.0,4.0,0.9999999924826971
2.0,0.8078380906420386,0.8626169138502147,35.0,7.0,2.8312887106361444e-06
5.0,0.330722154605714,0.6819689919638064,25.0,2.0,0.010756352329905966
2.0,0.41770815815730206,0.15926023317375682,26.0,2.0,0.9999999980875383
4.0,0.1433130849172031,0.17258441513051165,38.0,6.0,0.9999999997698845
4.0,0.05673737704422738,0.1358798964124609,18.0,8.0,0.9999970508929508
5.0,0.7334907895447955,0.9561784162103563,29.0,5.0,2.058933841665219e-08
4.0,0.15595331620731684,0.9840598370005735,20.0,4.0,1.1851192190368678e-06
2.0,0.323363836829084,0.09105812526644835,13.0,6.0,0.9999997270447035
3.0,0.9810975268980495,0.6728569283202512,17.0,3.0,0.0002475179878032533
3.0,0.11073366030209224,0.815641326970098,34.0,3.0,0.0013995658476909749
3.0,0.39031877036098567,0.5789574204006049,23.0,1.0,0.9995885117756625
5.0,0.6139246083144307,0.41837615315179244,11.0,4.0,0.08612447068918357
5.0,0.21234556519141118,0.47264209790106265,13.0,7.0,0.0013006624986867479
5.0,0.7405840563492457,0.7387209390588233,22.0,9.0,4.2739431799721184e-07
3.0,0.8349282751849626,0.7985684326970232,19.0,9.0,1.31782475761777e-06
4.0,0.28099279280761064,0.342321506630859,12.0,4.0,0.9990591978850295
2.0,0.5536541946238607,0.9118430051136353,19.0,7.0,5.798875985918581e-06
3.0,0.04048414364166783,0.5129127619591176,38.0,7.0,0.9999861003598965
5.0,0.24153625578239496,0.23613657660641493,20.0,1.0,0.9999996424025572
3.0,0.8725492849682078,0.10445426948269634,36.0,8.0,0.9999990024643589
2.0,0.26396533171170883,0.6094150514373897,12.0,5.0,0.9976631860570544
4.0,0.6690894203761325,0.9314896234541242,18.0,2.0,6.695188648251378e-07
