Var_0,Var_1,Var_2,Var_3,Var_4,Target
5.0,0.2066336854769853,0.8230029729387632,13.0,8.0,1.4634433159528654e-06
5.0,0.7105112473229486,0.09366871064440899,18.0,2.0,0.999962139322441
4.0,0.8212896405067236,0.9242860959024306,28.0,2.0,3.2768888867535947e-07
3.0,0.4589419969723483,0.8949057064787026,32.0,6.0,1.7495662691344462e-06
5.0,0.807722828598793,0.5923497061813234,20.0,4.0,0.0006682201834319796
3.0,0.2458299921782219,0.7358029937409263,39.0,7.0,6.033162287059791e-05
3.0,0.11396830283275954,0.4007598060949737,30.0,10.0,0.9999860451071199
4.0,0.5272064475036656,0.3524012519277288,25.0,5.0,0.999752260217323
3.0,0.9213076506519469,0.455781548630748,26.0,7.0,0.18297882554713416
2.0,0.2580174825412308,0.6596979403151984,35.0,4.0,0.9998891186465568
3.0,0.5189193471120799,0.020224341584578042,21.0,7.0,0.9999996896051211
4.0,0.23143735983917307,0.963233800195359,33.0,1.0,8.180895927354906e-08
5.0,0.6071896216293804,0.325919277489119,40.0,8.0,0.9973449609175021
4.0,0.08897550781086949,0.6638707552463868,19.0,2.0,0.6212571386625502
4.0,0.2611213759969032,0.5559511241580554,39.0,4.0,0.9502155313177961
3.0,0.4069962649456686,0.3501560500790081,16.0,2.0,0.9999946985000815
4.0,0.6185299003800355,0.7465608253346202,36.0,9.0,2.5408842804307346e-07
3.0,0.7919479055539291,0.5794982580982603,14.0,6.0,0.001781902601032932
4.0,0.6384710516116399,0.3168421332982696,38.0,2.0,0.9999970993830573
4.0,0.9910447464222285,0.9469618735857668,23.0,6.0,2.5660536309642018e-08
3.0,0.5863505278284666,0.7887482463127764,38.0,3.0,3.30868658973442e-05
4.0,0.03842842922926988,0.46885977809254514,16.0,9.0,0.012552685442071559
5.0,0.8362785028822468,0.6373158944094063,27.0,8.0,3.952037111208497e-06
4.0,0.3038569110410914,0.11251523720692565,33.0,3.0,0.9999999989575226
3.0,0.3394730534680551,0.7742073070227052,26.0,2.0,0.04746484794431269
4.0,0.4557046146618733,0.7155060527334389,12.0,1.0,0.0030353925616422796
3.0,0.31816632304905756,0.1213116001412846,12.0,10.0,0.9998504922743928
2.0,0.9554079669916076,0.8166962403046975,29.0,6.0,4.584796669657229e-06
5.0,0.38031230854983766,0.2916654799272777,18.0,8.0,0.5609783084833228
3.0,0.8616169202198027,0.23379429895473117,15.0,9.0,0.54825826981918
4.0,0.6349419048740453,0.25107849452319336,11.0,4.0,0.9972172678591148
4.0,0.3591720522539264,0.08201172775933341,38.0,7.0,0.9999999997867011
5.0,0.3972785214866165,0.4871020447582426,12.0,4.0,0.06422217901731823
5.0,0.7538318503804308,0.6083357439972135,36.0,5.0,2.089310754173531e-05
3.0,0.42651683019332165,0.9941935977358912,17.0,5.0,6.822475937321889e-07
