Var_0,Var_1,Var_2,Var_3,Var_4,Target
4.0,0.5847520867037218,0.4252435381351223,16.0,1.0,0.9997918377325695
2.0,0.5477115100214845,0.7187079341679237,38.0,6.0,0.33972797065543314
3.0,0.6451033174910927,0.3889850655313941,10.0,7.0,0.10013639035835353
5.0,0.9249320501216112,0.3456626275705566,28.0,7.0,0.0006575345365647062
3.0,0.8871408214166359,0.5136241149852439,23.0,9.0,0.0011750359065212195
4.0,0.8664753968156739,0.05725557248374797,22.0,3.0,0.9999038980799353
5.0,0.08945090336263466,0.7639021085482743,20.0,7.0,2.5535170824723614e-05
4.0,0.9396052809565298,0.8633645921642025,32.0,6.0,1.5484496999151747e-07
5.0,0.6169732133713827,0.29525579783002254,14.0,7.0,0.03038543373546468
3.0,0.2697842561560839,0.0858367460655453,37.0,5.0,0.9999999999872096
4.0,0.8481466290612004,0.30827598296024733,40.0,9.0,0.9750858190181207
4.0,0.980513273712415,0.6733376274408416,13.0,4.0,2.345038148972726e-05
3.0,0.15660354712862792,0.9995026049631559,30.0,4.0,4.1122563674753565e-07
4.0,0.21485558004315236,0.6957210885870416,36.0,1.0,0.0158850424325935
3.0,0.010015906755636975,0.7222696018135064,31.0,8.0,0.0005924602950568784
3.0,0.5986724310812437,0.8175808744688328,34.0,10.0,1.3148044577448683e-07
4.0,0.37838201739654637,0.6032739278023672,39.0,5.0,0.0048347192231760665
3.0,0.965094439137252,0.5056599349947037,25.0,4.0,0.40387869088486905
4.0,0.5176370145438123,0.0024310511535176075,24.0,7.0,0.9999997468701464
2.0,0.7504798882532244,0.7984892385620298,19.0,3.0,4.452908953228287e-05
3.0,0.4271138837259001,0.46844048113218417,24.0,6.0,0.9997059210088984
4.0,0.1831715107123209,0.25970716318572373,12.0,4.0,0.999900485093765
5.0,0.7422708957315016,0.568875147487613,29.0,2.0,0.01818363648386567
5.0,0.5035259136671993,0.9482428526527724,27.0,5.0,1.0844389819779219e-07
3.0,0.2885201106725983,0.1172877347800987,15.0,3.0,0.9999996337069869
5.0,0.44942023907250306,0.41290168994772475,28.0,9.0,0.5728033427170323
3.0,0.11838905797464386,0.44533249721575974,17.0,10.0,0.23535107468085487
2.0,0.3129971706900388,0.03664078835498117,19.0,9.0,0.9999999855696786
4.0,0.4930965981582293,0.15796115102036437,35.0,3.0,0.9999999732306581
3.0,0.7145500515355252,0.8900451732042076,37.0,3.0,7.70129078222047e-07
4.0,0.06824140639270501,0.17987270748865636,30.0,8.0,0.9999999901768019
5.0,0.2540699037532696,0.6105424697989101,21.0,2.0,0.4430821538049952
3.0,0.13968960156338825,0.6412019661964117,11.0,5.0,0.9504725594726919
2.0,0.35353088157894325,0.3637945267610395,33.0,9.0,0.999999621885459
2.0,0.35735752057172954,0.7807701333524834,22.0,8.0,0.0008340635285163475
2.0,0.2307139663448883,0.5443116894074643,25.0,2.0,0.9999992538623234
3.0,0.6927475770657818,0.2115995316686572,32.0,2.0,0.9999997464049758
4.0,0.048256656168318715,0.247824223948161,27.0,2.0,0.9999999959640025
3.0,0.8375238950514288,0.20097880934339354,35.0,6.0,0.9999921805766098
4.0,0.6597782603494069,0.8492862747765141,17.0,8.0,1.34629521308619e-06
3.0,0.7980750154285287,0.9200699158629042,13.0,8.0,1.259435618912207e-07
4.0,0.4221678750739519,0.9654931967374566,16.0,4.0,9.610876709364948e-07
2.0,0.7892722935898071,0.11418377383055515,18.0,5.0,0.9999932547137131
