Var_0,Var_1,Var_2,Var_3,Var_4,Target
4.0,0.36262386503836264,0.3377761958629241,40.0,2.0,0.9999998922529548
4.0,0.7408107802475744,0.29772557877180694,32.0,1.0,0.9999913635898886
2.0,0.5167100078465725,0.23539183484547224,11.0,7.0,0.9999607261872442
4.0,0.8008891942509688,0.027108203496374675,22.0,6.0,0.999874138077732
3.0,0.4688306854180457,0.9990970426613873,24.0,4.0,2.666072012919645e-07
4.0,0.2648295064906158,0.8733922725474346,25.0,1.0,8.354850910636318e-06
4.0,0.5677159731922081,0.4780379708716362,19.0,4.0,0.9916340711814482
3.0,0.731848182175551,0.9090972543542842,30.0,8.0,1.765863311196638e-07
3.0,0.42534845981208974,0.09046449396923438,29.0,3.0,0.9999999967129738
3.0,0.9872838835539904,0.5924074468831887,37.0,4.0,0.08873867865593488
4.0,0.6855357500056779,0.2684889139151039,20.0,10.0,0.9273191513046102
3.0,0.67359423966174,0.8458897196692833,37.0,2.0,4.711296580417225e-06
2.0,0.10071429169336418,0.7163984063328407,20.0,3.0,0.9998549544101846
3.0,0.11048322219276771,0.963305964943682,33.0,9.0,2.8671622380628878e-08
4.0,0.722322972319535,0.289273097342546,39.0,8.0,0.9998896784034768
3.0,0.8899356171981732,0.2529632529703263,31.0,9.0,0.9975841547427254
3.0,0.8237680019248439,0.7985481339078799,15.0,9.0,1.1403017468271754e-06
2.0,0.3235277136307951,0.8348641207209809,16.0,9.0,2.2792833240869977e-05
2.0,0.7540638494576036,0.7504264464158059,16.0,5.0,0.00018332486086995029
2.0,0.23033093847523003,0.674133194347067,27.0,6.0,0.9995501846234047
3.0,0.027915081945837916,0.010248618707109901,32.0,5.0,0.9999999999989282
3.0,0.9021275138078293,0.4016816862768542,12.0,7.0,0.016600153704967664
3.0,0.050079558781809544,0.0732799297479486,21.0,8.0,0.9999999926265777
4.0,0.4348423691560688,0.9843183626612225,34.0,9.0,1.947809578439224e-09
5.0,0.23847261066954495,0.8615581578480862,32.0,6.0,2.730804013057806e-07
4.0,0.9322955933287658,0.10206465961578359,35.0,4.0,0.9999074292227168
2.0,0.48672957088950647,0.5398989933410482,37.0,8.0,0.9987662790900173
3.0,0.4761296338167062,0.11551359698902358,38.0,7.0,0.9999999994947721
5.0,0.2986362383102799,0.5613212521627411,39.0,9.0,0.00020972472142582343
4.0,0.13495597217464192,0.3554731591088845,11.0,5.0,0.9925022118489498
3.0,0.9479300731852622,0.0219976873173697,18.0,8.0,0.9988989852886575
2.0,0.8757397747591315,0.7211559202394165,27.0,3.0,0.005145718017191492
3.0,0.39929306437761497,0.7789944414174594,40.0,7.0,5.646390096037144e-06
5.0,0.5594556690313266,0.3285416894432498,13.0,7.0,0.009604106556819933
2.0,0.5405814763401299,0.45658585313955913,33.0,2.0,0.9999991009573383
