Var_0,Var_1,Var_2,Var_3,Var_4,Target
2.0,0.821469836520893,0.19239100667738085,29.0,4.0,0.999999538843817
2.0,0.3316963333719255,0.7473222377741718,38.0,2.0,0.7629909468137638
4.0,0.31272001068139815,0.05435929428466374,32.0,1.0,0.9999999997634945
2.0,0.5961132007907887,0.9339245716242416,13.0,6.0,1.8375663950200365e-06
5.0,0.1426681435765192,0.7309967927127352,29.0,9.0,1.6236351589930204e-06
4.0,0.12920067963374804,0.6325711755722356,31.0,2.0,0.9825119413541743
2.0,0.6032567717627022,0.6931093703288325,33.0,5.0,0.9371287224559653
5.0,0.3935665219776136,0.016277369116698824,19.0,7.0,0.9999967112135181
2.0,0.24955509173000845,0.3089700907855579,35.0,3.0,0.9999999999034199
3.0,0.9947804408623313,0.4451012344664056,24.0,3.0,0.904928176248728
3.0,0.01763892674812748,0.16216430553323438,30.0,4.0,0.9999999999643843
3.0,0.9831594214476076,0.6662322125916076,10.0,6.0,1.1833251876322074e-05
3.0,0.7643260328764008,0.4757702201114885,40.0,9.0,0.19699897469950778
4.0,0.6426675958210384,0.06929583620456088,25.0,6.0,0.9999915504571795
3.0,0.5486590843183852,0.5205187791242953,12.0,8.0,0.002415221846511088
3.0,0.9392806369042799,0.9811241276391547,34.0,4.0,1.9636279481456986e-08
3.0,0.5812798958615409,0.33881622674681805,29.0,1.0,0.9999988048677947
5.0,0.5153180314384628,0.27898230774851607,39.0,9.0,0.9999875493411723
5.0,0.7482810967755056,0.5720823189204454,15.0,3.0,0.004076308082615773
2.0,0.8433197839316641,0.25720783413489895,15.0,8.0,0.9985476939194516
4.0,0.9604117363307593,0.2074167026505075,17.0,4.0,0.8893569946683834
4.0,0.6307327287447795,0.988064359125776,22.0,8.0,4.388072484150116e-08
2.0,0.8527792705842366,0.8708258744123041,23.0,3.0,3.2391975435000835e-06
4.0,0.923129839367395,0.7130196093780513,35.0,8.0,8.629132694233009e-07
4.0,0.10594605288552798,0.8516277136863062,28.0,6.0,1.0565165450284755e-05
4.0,0.44356422223726605,0.4974996460493537,11.0,2.0,0.969279932646328
2.0,0.9001093568873533,0.7076394098333407,21.0,8.0,3.448205902743983e-05
4.0,0.6228433051843452,0.7515967641055621,27.0,1.0,0.00024547827554566716
3.0,0.8064378400226819,0.1676802948109887,23.0,10.0,0.9997280083306482
5.0,0.9476089988283226,0.8282783004398414,20.0,7.0,6.614187129795678e-08
4.0,0.5666657709277698,0.7843541118948698,39.0,5.0,7.076340277285122e-07
4.0,0.7736652510250129,0.08261401508213093,32.0,2.0,0.9999992997669294
2.0,0.6860799968733678,0.4258720315098776,14.0,2.0,0.9999525974453325
