Loop,N_Points,Alpha,Entropy_Input,CV_NND_Input,Entropy_SHAP,CV_NND_SHAP
0,30,0.00,0.9098,0.0907,0.8279,0.5961
1,31,0.11,0.9115,0.0889,0.9056,0.3815
2,32,0.22,0.9114,0.0874,0.8986,0.4380
3,33,0.33,0.9184,0.0855,0.9207,0.2865
4,34,0.44,0.9179,0.0889,0.8659,0.5060
5,35,0.56,0.9233,0.0877,0.8578,0.4970
6,36,0.67,0.9199,0.0863,0.8900,0.4557
7,37,0.78,0.9157,0.0854,0.8880,0.4228
8,38,0.89,0.9156,0.0843,0.8994,0.4067
9,39,1.00,0.9140,0.1101,0.9075,0.4076
