Var_0,Var_1,Var_2,Var_3,Var_4,Target
4.0,0.6142589300697203,0.08662062811206776,37.0,4.0,0.999999984237357
3.0,0.7936174672996607,0.09856846139722565,12.0,5.0,0.9997502735775624
4.0,0.059847745744600014,0.4699654696117674,16.0,9.0,0.010540211132317928
3.0,0.4097804977292065,0.04739330493716648,20.0,9.0,0.9999998631822656
3.0,0.01306028183751415,0.32014442242018815,32.0,6.0,0.9999999942483155
4.0,0.9633736352106299,0.3567923851053235,26.0,3.0,0.6370492298254038
5.0,0.8472542939755848,0.253344457991288,25.0,8.0,0.603599059218265
5.0,0.6508944640407559,0.5717642427580693,20.0,3.0,0.07275394270605008
3.0,0.4904110186100181,0.4915749036748084,11.0,7.0,0.02457692384554203
3.0,0.35367603502451184,0.6197738223670737,27.0,10.0,0.0003257328479363689
3.0,0.18800799867978193,0.9316833295216764,33.0,6.0,7.882556456141436e-07
2.0,0.10847216989550329,0.8596107296546255,18.0,7.0,0.0005354161186962215
2.0,0.13609167181818724,0.14549769069991395,22.0,4.0,0.9999999994331576
3.0,0.7116374860277528,0.967911040199001,28.0,4.0,2.1294964817671837e-07
2.0,0.45976766978973005,0.15644534502490845,35.0,7.0,0.9999999995767987
4.0,0.32619021876602544,0.9774528012307345,15.0,6.0,1.1742688365358455e-06
4.0,0.7475894530995569,0.7922586283390672,14.0,9.0,1.0104515814421678e-06
5.0,0.47296852014568586,0.009380682417336859,22.0,5.0,0.9999975590113893
3.0,0.5847747491938277,0.4231079307084276,36.0,2.0,0.9999959478585595
5.0,0.3084340332713345,0.7873419537089897,28.0,8.0,1.073663132134285e-06
4.0,0.7695576227160096,0.6556503655201149,38.0,2.0,0.00045359715542125635
4.0,0.5421202272547759,0.5942763997907261,39.0,7.0,4.7213783021219204e-05
3.0,0.5638291558151309,0.21323033636238511,18.0,1.0,0.9999988040153835
2.0,0.673441337013417,0.5304571819210739,23.0,5.0,0.9996909816118518
4.0,0.19317003593663248,0.36540538140573176,11.0,3.0,0.9998443232715533
4.0,0.8784106384307881,0.8973865355225777,31.0,8.0,2.5119843183246693e-08
3.0,0.2253343470438785,0.6784637438548952,17.0,2.0,0.9839144191745292
4.0,0.07108061849225392,0.2914640310643804,32.0,3.0,0.9999999951742586
3.0,0.9270043329427577,0.4374396934069337,24.0,10.0,0.0026679343882570006
2.0,0.9706442138833327,0.6969903303628726,38.0,5.0,0.002203119313237898
5.0,0.3830123323530859,0.20437611994364535,35.0,9.0,0.9999997512503535
4.0,0.2618727550640958,0.8301278343548061,29.0,2.0,1.6156607339055877e-05
3.0,0.8850903232014627,0.7458399570913825,13.0,3.0,3.0425418791200043e-05
