Density,Intolerance threshold,Convergence,Sparsity
0.5864953417721017,0.7104122213794013,True,3.4188999489791234
0.7261087483660742,0.0565789343019788,True,3.303883917313456
0.529577151144958,0.12620214350923178,True,4.115280644128378
0.6844260133227869,0.5322503244144736,True,4.038006236132581
0.4770915532382291,0.9704843357845324,True,7.159905658452096
0.13411761016568166,0.6158568308741977,True,17.84177757160815
0.9242704574946691,0.40648795692839895,True,0.9061733198028967
0.7634645734460416,0.8046584161203104,True,3.291423358259148
0.3650168954228173,0.19755883296162008,True,5.798689298488299
0.43168665540343415,0.76015881191656,True,4.796318131619695
0.22924754896266195,0.0991874117212252,True,8.672518465364266
0.146227749878293,0.9260243010340656,True,13.733417543515635
0.6444880085186792,0.22742538710902768,True,2.395504507809105
0.9491442205927653,0.8335787423250336,True,3.745905815478335
0.8245223516311743,0.655660466489417,True,3.757506580861965
0.07910785248029244,0.4347934588595743,True,18.05652458067232
0.3343118286757552,0.34515086560432895,True,3.4769387376864964
0.9716133009382126,0.5729823786361429,True,3.1962958699657893
0.2923012979715226,0.6944226065352612,True,8.142677281849586
0.548752236818559,0.3964373707107399,True,3.1836870538915294
0.40503303480503183,0.01462928132506841,True,7.54326392332552
0.7817867865079957,0.32105547997073547,True,1.2811874152019322
0.8939685044575706,0.14834619792985224,True,2.4792996407748698
0.1872363347996752,0.26879390853680585,True,6.457609008593335
0.03554054960234679,0.2409079573928259,True,25.907686999699997
0.6082874096760705,0.8888283618864011,True,4.89304741087037
0.07133373135707562,0.7762776034643415,True,42.615974562587795
0.45440179312299217,0.5456819902011623,True,6.022322786581825
0.2556326685613019,0.4894349651080818,True,6.149319780550349
0.8415969706816787,0.9522913731984298,True,3.7569392958903256
0.010000001709061235,0.6347928101266443,True,62.15711827739516
1.0000000003461929,0.5995736959117666,True,3.066051690266444
0.009999999999901523,0.6679095893274397,True,69.64823240219066
0.07665214002048416,0.6111032518708684,True,33.7093669504516
1.0000000000000002,0.6069278085835182,True,3.0373795892665805
0.246488986569251,0.623269924568655,True,9.965429634610505
0.7581330962419054,0.6179464314986584,True,3.9876114095856625
0.07531268821501393,0.5609833395197364,True,25.233433957273622
0.8498636609194558,0.5749178622335225,True,3.3823384396362997
0.1414526539982352,0.4947550143677101,True,12.901643724441799
0.2058869813210116,0.5227360868158337,True,8.52312804876675
0.07683433769179027,0.47190740239986884,True,19.422972363829967
0.09333947499970205,0.5688185833675795,True,20.568692752943857
0.07588507910436071,0.6942955195347453,True,50.69808709676102
0.9999999996280549,0.5639120354750833,True,3.2150864492883637
0.20616827582369254,0.5261707261571559,True,8.622487536342481
0.6937126911939617,0.46596805074884035,True,2.165471323227602
0.1313071645851888,0.4360531570325507,True,12.7925568677088
0.009999999966611708,0.6698254810515842,True,70.08161279576248
0.043514864425041426,0.6724963236948268,True,59.07581280024006
0.010000000000127676,0.8773724702723804,True,56.82934871067891
0.024806811080720456,0.6224084865664544,True,54.22649059554189
0.8040160564122137,0.7085957341959044,True,4.203901614857571
1.0,0.7265498721983277,True,3.221853308637076
0.06920083896123036,0.5046291540267812,True,23.319284861260694
0.928322532365219,0.6604909763295641,True,3.1799462606840825
0.027494655871760348,0.4846024607086708,True,35.50376979586825
0.019646418469523294,0.912313360605115,True,43.0479964776531
0.7507511347891256,0.5199388137534281,True,3.0262126223312613
0.7696589616237648,0.6477694473017667,True,4.137684541098296
0.7696589616237648,0.6477694473017667,True,4.137684541098291
