Loop,N_Points,Alpha,Entropy_Input,CV_NND_Input,Entropy_SHAP,CV_NND_SHAP
0,30,0.00,0.9089,0.0768,0.8315,0.3410
1,31,0.02,0.9089,0.0949,0.8514,0.3369
